Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
FOXR1		11q23.3	AMP	7	109	6.4%	No
MRPS2		9q34.3	AMP	5	109	4.6%	No
DAZAP1		19p13.3	HOMDEL	5	109	4.6%	Yes
IGBP1P1		14q13.2	HOMDEL	2	109	1.8%	No
PWAR5		15q11.2	HOMDEL	5	109	4.6%	No
SPATA9		5q15	AMP	2	109	1.8%	No
AQP9		15q21.3	AMP	1	109	0.9%	No
SYNC		1p35.1	AMP	1	109	0.9%	No
PSME2		14q12	HOMDEL	1	109	0.9%	No
THG1L		5q33.3	AMP	1	109	0.9%	No
ZNF512B		20q13.33	AMP	28	109	25.7%	No
RNF31		14q12	AMP	6	109	5.5%	No
TRIM64B		11q14.3	AMP	3	109	2.8%	No
ZNF571-AS1		19q13.12	HOMDEL	1	109	0.9%	No
KRTAP17-1		17q21.2	HOMDEL	3	109	2.8%	No
TUBA1B		12q13.12	HOMDEL	2	109	1.8%	No
FAM200B		4p15.32	AMP	3	109	2.8%	No
CLGN		4q31.1	HOMDEL	7	109	6.4%	No
TMED6		16q22.1	HOMDEL	1	109	0.9%	No
RMDN1		8q21.3	AMP	5	109	4.6%	No
SMIM26		20p11.23	HOMDEL	1	109	0.9%	No
LIMA1		12q13.12	HOMDEL	2	109	1.8%	No
LINC02900		5q31.1	HOMDEL	1	109	0.9%	No
TMEM131L		4q31.3	HOMDEL	4	109	3.7%	No
CFHR5		1q31.3	AMP	9	109	8.3%	No
ADAM1A		12q24.12-q24.13	HOMDEL	2	109	1.8%	No
NOC2L		1p36.33	AMP	11	109	10.1%	No
TRIM16		17p12	HOMDEL	4	109	3.7%	No
CPNE8		12q12	AMP	4	109	3.7%	No
ZNF490		19p13.2-p13.13	AMP	2	109	1.8%	No
INTS11		1p36.33	AMP	14	109	12.8%	No
ADA		20q13.12	AMP	9	109	8.3%	No
PPAT		4q12	HOMDEL	1	109	0.9%	No
C9ORF40		9q21.13	AMP	1	109	0.9%	No
KRTAP3-1		17q21.2	AMP	7	109	6.4%	No
SSTR5-AS1		16p13.3	HOMDEL	3	109	2.8%	No
ABCC6		16p13.11	AMP	5	109	4.6%	No
MAP3K2		2q14.3	HOMDEL	1	109	0.9%	No
ADAM10		15q21.3	AMP	1	109	0.9%	No
SCN10A		3p22.2	HOMDEL	4	109	3.7%	No
CYBRD1		2q31.1	HOMDEL	1	109	0.9%	No
UTP11		1p34.3	AMP	3	109	2.8%	No
KRT40		17q21.2	HOMDEL	1	109	0.9%	No
DHX33		17p13.2	HOMDEL	6	109	5.5%	No
CNGB3		8q21.3	AMP	5	109	4.6%	No
ANP32A-IT1		15q23	AMP	4	109	3.7%	No
NKPD1		19q13.32	AMP	16	109	14.7%	No
ADAM8		10q26.3	AMP	13	109	11.9%	No
USP6		17p13.2	HOMDEL	7	109	6.4%	Yes
CDK6		7q21.2	HOMDEL	2	109	1.8%	Yes
PTK2		8q24.3	HOMDEL	1	109	0.9%	No
SCOC-AS1		4q31.1	HOMDEL	5	109	4.6%	No
HMGN4		6p22.2	AMP	2	109	1.8%	No
ITGAM		16p11.2	HOMDEL	1	109	0.9%	No
KRTAP1-5		17q21.2	AMP	7	109	6.4%	No
TRIM38		6p22.2	AMP	3	109	2.8%	No
ADAR		1q21.3	AMP	20	109	18.3%	No
WDR45B		17q25.3	AMP	10	109	9.2%	No
CNKSR1		1p36.11	HOMDEL	8	109	7.3%	No
PPP1R37		19q13.32	AMP	16	109	14.7%	No
COQ4		9q34.11	AMP	7	109	6.4%	No
PAN3-AS1		13q12.2	AMP	4	109	3.7%	No
APOBR		16p12.1	AMP	5	109	4.6%	No
NUPR2		7p11.2	AMP	5	109	4.6%	No
TUSC1		9p21.2	HOMDEL	14	109	12.8%	No
OR7E24		19p13.2	HOMDEL	1	109	0.9%	No
BARX1		9q22.32	HOMDEL	1	109	0.9%	No
TADA3		3p25.3	AMP	3	109	2.8%	No
JUN-DT		1p32.1	AMP	2	109	1.8%	No
BCAM		19q13.32	HOMDEL	1	109	0.9%	No
HAPLN3		15q26.1	AMP	10	109	9.2%	No
TRPM3		9q21.12-q21.13	AMP	2	109	1.8%	No
PLAAT2		11q12.3	AMP	4	109	3.7%	No
USP46		4q12	HOMDEL	1	109	0.9%	No
MTMR7		8p22	HOMDEL	8	109	7.3%	No
LINC00111		21q22.3	HOMDEL	3	109	2.8%	No
CCM2L		20q11.21	AMP	3	109	2.8%	No
ADARB1		21q22.3	AMP	5	109	4.6%	No
LINC00616		4q28.3	HOMDEL	7	109	6.4%	No
NEBL-AS1		10p12.31	AMP	2	109	1.8%	No
TMEM45A		3q12.2	AMP	2	109	1.8%	No
NBAS		2p24.3	HOMDEL	2	109	1.8%	No
KCTD15		19q13.11	AMP	10	109	9.2%	No
PFDN6		6p21.32	AMP	2	109	1.8%	No
LINC01189		9q13	AMP	1	109	0.9%	No
HEXB		5q13.3	HOMDEL	4	109	3.7%	No
IFITM1		11p15.5	HOMDEL	5	109	4.6%	No
KISS1		1q32.1	HOMDEL	1	109	0.9%	No
SH3GL2		9p22.2	HOMDEL	13	109	11.9%	No
SLC35F6		2p23.3	AMP	3	109	2.8%	No
CUTALP		9q33.2	AMP	3	109	2.8%	No
MIR2052HG		8q21.11-q21.13	HOMDEL	1	109	0.9%	No
SPATA16		3q26.31	AMP	3	109	2.8%	No
RTP2		3q27.3	AMP	2	109	1.8%	No
H4C11		6p22.1	HOMDEL	5	109	4.6%	No
BRI3BP		12q24.31	AMP	1	109	0.9%	No
ADARB2		10p15.3	AMP	4	109	3.7%	Yes
ABCA17P		16p13.3	HOMDEL	4	109	3.7%	No
CHD5		1p36.31	HOMDEL	8	109	7.3%	No
SBDS		7q11.21	AMP	3	109	2.8%	Yes
LINC00639		14q21.1	HOMDEL	3	109	2.8%	No
CSRNP3		2q24.3	AMP	2	109	1.8%	No
PHGR1		15q15.1	AMP	2	109	1.8%	No
SECISBP2		9q22.2	AMP	2	109	1.8%	No
HCP5		6p21.33	HOMDEL	3	109	2.8%	No
UACA		15q23	AMP	6	109	5.5%	No
LRRC47		1p36.32	AMP	6	109	5.5%	No
ATP2A1-AS1		16p11.2	AMP	5	109	4.6%	No
ZBTB18		1q44	AMP	10	109	9.2%	No
C12ORF56		12q14.2	AMP	3	109	2.8%	No
PPIAL4G		1q21.2	HOMDEL	2	109	1.8%	No
CIST1		19p13.11	HOMDEL	1	109	0.9%	No
DRC12		11q23.3	AMP	6	109	5.5%	No
CELA3A		1p36.12	HOMDEL	11	109	10.1%	No
GPR146		7p22.3	HOMDEL	1	109	0.9%	No
OR4C16		11q11	AMP	1	109	0.9%	No
SAMD10		20q13.33	AMP	26	109	23.9%	No
CRABP1		15q25.1	HOMDEL	1	109	0.9%	No
SLC25A17		22q13.2	AMP	2	109	1.8%	No
NARF		17q25.3	HOMDEL	3	109	2.8%	No
DDX39A		19p13.12	AMP	6	109	5.5%	No
OR7D2		19p13.2	HOMDEL	1	109	0.9%	No
SCGN		6p22.2	HOMDEL	6	109	5.5%	No
KNTC1		12q24.31	AMP	2	109	1.8%	No
ATP5MK		10q24.33	AMP	1	109	0.9%	No
DNASE2		19p13.13	HOMDEL	1	109	0.9%	No
TMTC2		12q21.31	HOMDEL	9	109	8.3%	No
DLGAP2		8p23.3	HOMDEL	5	109	4.6%	No
RABL6		9q34.3	HOMDEL	4	109	3.7%	No
RHBDF2		17q25.1	HOMDEL	3	109	2.8%	No
POMP		13q12.3	AMP	4	109	3.7%	No
NAV1		1q32.1	HOMDEL	1	109	0.9%	No
LRTM2		12p13.33	AMP	9	109	8.3%	No
INSL3		19p13.11	AMP	8	109	7.3%	No
FAM106A		17p11.2	AMP	2	109	1.8%	No
BCAS1		20q13.2	AMP	6	109	5.5%	No
ADAM30		1p12	HOMDEL	5	109	4.6%	No
OR4C11		11q11	AMP	1	109	0.9%	No
OR51A7		11p15.4	HOMDEL	6	109	5.5%	No
PSMD14		2q24.2	AMP	2	109	1.8%	No
GPAA1		8q24.3	HOMDEL	5	109	4.6%	No
ABHD16B		20q13.33	AMP	26	109	23.9%	No
ADCY1		7p12.3	AMP	3	109	2.8%	No
KRTAP9-2		17q21.2	AMP	6	109	5.5%	No
HDAC9		7p21.1	AMP	1	109	0.9%	No
SNORD114-11		14q32.31	HOMDEL	7	109	6.4%	No
FAM110D		1p36.11	HOMDEL	8	109	7.3%	No
LOXHD1		18q21.1	AMP	1	109	0.9%	No
C8ORF48		8p22	HOMDEL	7	109	6.4%	No
ABCC2		10q24.2	AMP	1	109	0.9%	No
CAMK1		3p25.3	AMP	2	109	1.8%	No
API5		11p12	AMP	1	109	0.9%	No
ATP5PD		17q25.1	AMP	9	109	8.3%	No
ATRAID		2p23.3	AMP	3	109	2.8%	No
LINC01555		1p22.3	AMP	2	109	1.8%	No
NPR2		9p13.3	HOMDEL	6	109	5.5%	No
PROS1		3q11.1	HOMDEL	2	109	1.8%	No
ADCY2		5p15.31	AMP	2	109	1.8%	No
SLX4IP		20p12.2	HOMDEL	1	109	0.9%	No
PCNA		20p12.3	HOMDEL	1	109	0.9%	No
ARSG		17q24.2	HOMDEL	3	109	2.8%	No
LTB4R		14q12	AMP	6	109	5.5%	No
MRPS17		7p11.2	AMP	3	109	2.8%	No
GSTCD		4q24	HOMDEL	3	109	2.8%	No
FLOT1		6p21.33	AMP	7	109	6.4%	No
UBE2E3		2q31.3	AMP	3	109	2.8%	No
NDST3		4q26	HOMDEL	5	109	4.6%	No
PACSIN1		6p21.31	HOMDEL	2	109	1.8%	No
USP34		2p15	AMP	4	109	3.7%	No
LCN2		9q34.11	HOMDEL	1	109	0.9%	No
SNORD116-4		15q11.2	HOMDEL	6	109	5.5%	No
ADCY3		2p23.3	AMP	1	109	0.9%	No
KRTAP3-2		17q21.2	AMP	7	109	6.4%	No
OR56A1		11p15.4	HOMDEL	5	109	4.6%	No
ABHD14B		3p21.2	AMP	3	109	2.8%	No
CTSG		14q12	HOMDEL	1	109	0.9%	No
TOPORS		9p21.1	AMP	3	109	2.8%	No
TMA7		3p21.31	AMP	4	109	3.7%	No
BARX2		11q24.3	AMP	2	109	1.8%	No
TRABD2A		2p11.2	AMP	2	109	1.8%	No
SPMIP1		7q32.1	AMP	16	109	14.7%	No
PRG4		1q31.1	AMP	8	109	7.3%	No
LACTB2		8q13.3	AMP	5	109	4.6%	No
C11ORF68		11q13.1	AMP	11	109	10.1%	No
PLOD1		1p36.22	HOMDEL	8	109	7.3%	No
PRDX6		1q25.1	HOMDEL	1	109	0.9%	No
CDKL2		4q21.1	HOMDEL	1	109	0.9%	No
CYC1		8q24.3	HOMDEL	5	109	4.6%	No
GUSBP4		6p11.2	HOMDEL	2	109	1.8%	No
RNF113B		13q32.2	HOMDEL	1	109	0.9%	No
SETD1A		16p11.2	AMP	7	109	6.4%	Yes
ABCA9		17q24.2	HOMDEL	8	109	7.3%	No
TMEM132A		11q12.2	AMP	8	109	7.3%	No
DET1		15q26.1	AMP	5	109	4.6%	No
SLC39A14		8p21.3	HOMDEL	4	109	3.7%	No
TMEM201		1p36.22	AMP	7	109	6.4%	No
CTDSPL		3p22.2	AMP	2	109	1.8%	No
ZNF461		19q13.13	AMP	4	109	3.7%	No
ZMIZ2		7p13	AMP	7	109	6.4%	No
LINC00261		20p11.21	HOMDEL	4	109	3.7%	No
SNX7		1p21.3	AMP	3	109	2.8%	No
KIDINS220		2p25.1	HOMDEL	2	109	1.8%	No
NKX6-3		8p11.21	AMP	5	109	4.6%	No
GSC		14q32.13	HOMDEL	3	109	2.8%	No
CCP110		16p12.3	AMP	2	109	1.8%	No
PTOV1-AS1		19q13.33	AMP	14	109	12.8%	No
BANP		16q24.2	AMP	7	109	6.4%	No
VWA5B1		1p36.12	AMP	2	109	1.8%	No
NEUROG1		5q31.1	HOMDEL	1	109	0.9%	No
SGPL1		10q22.1	HOMDEL	1	109	0.9%	No
MCHR2-AS1		6q16.2-q16.3	HOMDEL	7	109	6.4%	No
SNORA70E		11q14.1	HOMDEL	1	109	0.9%	No
ADTRP		6p24.1	AMP	1	109	0.9%	No
CPB2-AS1		13q14.13	AMP	1	109	0.9%	No
ANGPT4		20p13	AMP	6	109	5.5%	No
DMXL1		5q23.1	HOMDEL	4	109	3.7%	No
C19ORF12		19q12	AMP	8	109	7.3%	No
ADH1A		4q23	HOMDEL	1	109	0.9%	No
NUP62		19q13.33	HOMDEL	4	109	3.7%	No
ZNF251		8q24.3	AMP	35	109	32.1%	No
SMC6		2p24.2	HOMDEL	7	109	6.4%	No
TRIP10		19p13.3	HOMDEL	1	109	0.9%	No
UAP1L1		9q34.3	HOMDEL	5	109	4.6%	No
TTC12		11q23.2	AMP	3	109	2.8%	No
PLPP3		1p32.2	HOMDEL	6	109	5.5%	No
ZMYM4		1p34.3	HOMDEL	1	109	0.9%	No
ACTG1P20		1p36.11	HOMDEL	10	109	9.2%	No
UCHL5		1q31.2	AMP	11	109	10.1%	No
ZNF585B		19q13.12	AMP	5	109	4.6%	No
LINC01020		5p15.32	AMP	7	109	6.4%	No
DDX12P		12p13.31	AMP	5	109	4.6%	No
KMT5B		11q13.2	AMP	6	109	5.5%	No
BDP1		5q13.2	HOMDEL	6	109	5.5%	No
RFX6		6q22.1	HOMDEL	9	109	8.3%	No
CEMP1		16p13.3	AMP	11	109	10.1%	No
SPAG16-DT		2q34	HOMDEL	1	109	0.9%	No
ANKRD36BP1		1q24.2	AMP	8	109	7.3%	No
UBXN10		1p36.12	AMP	2	109	1.8%	No
LINC02171		4p16.3	AMP	4	109	3.7%	No
GLB1L		2q35	HOMDEL	1	109	0.9%	No
LINC00661		19p13.12	AMP	3	109	2.8%	No
PPP1R3C		10q23.32	HOMDEL	2	109	1.8%	No
LRRC74A		14q24.3	HOMDEL	2	109	1.8%	No
INPPL1		11q13.4	AMP	4	109	3.7%	Yes
PAX8-AS1		2q14.1	AMP	6	109	5.5%	No
DGCR2		22q11.21	AMP	4	109	3.7%	No
SECTM1		17q25.3	AMP	9	109	8.3%	No
MED27		9q34.13	HOMDEL	1	109	0.9%	No
RPL8		8q24.3	AMP	36	109	33.0%	No
OXA1L		14q11.2	HOMDEL	1	109	0.9%	No
PRDM10-DT		11q24.3	AMP	5	109	4.6%	No
USPL1		13q12.3	AMP	2	109	1.8%	No
ZNF532		18q21.32	HOMDEL	20	109	18.3%	No
SNORD113-2		14q32.31	HOMDEL	8	109	7.3%	No
NHLRC1		6p22.3	HOMDEL	3	109	2.8%	No
ZBTB25		14q23.3	AMP	1	109	0.9%	No
COX6B2		19q13.42	HOMDEL	1	109	0.9%	No
TNFRSF10B		8p21.3	AMP	2	109	1.8%	No
DLX6		7q21.3	HOMDEL	1	109	0.9%	No
ZNF445		3p21.31	AMP	2	109	1.8%	No
INPP5D		2q37.1	AMP	2	109	1.8%	Yes
RPL9		4p14	AMP	2	109	1.8%	No
KCNE2		21q22.11	AMP	1	109	0.9%	No
USP15		12q14.1	HOMDEL	5	109	4.6%	No
MARVELD2		5q13.2	HOMDEL	6	109	5.5%	No
E2F2		1p36.12	HOMDEL	8	109	7.3%	No
MEF2B		19p13.11	AMP	5	109	4.6%	Yes
HCG23		6p21.32	AMP	5	109	4.6%	No
C1ORF94		1p35.1	HOMDEL	3	109	2.8%	No
EIF1		17q21.2	AMP	9	109	8.3%	No
TBC1D32		6q22.31	HOMDEL	15	109	13.8%	No
MINPP1		10q23.2	HOMDEL	1	109	0.9%	No
CAVIN3		11p15.4	HOMDEL	5	109	4.6%	No
ZNF45		19q13.31	AMP	6	109	5.5%	No
TNFRSF10C		8p21.3	AMP	2	109	1.8%	No
SELENOI		2p23.3	HOMDEL	1	109	0.9%	No
SNORD100		6q23.2	HOMDEL	3	109	2.8%	No
NME4		16p13.3	AMP	19	109	17.4%	No
CCDC198		14q22.3	HOMDEL	1	109	0.9%	No
UFSP2		4q35.1	HOMDEL	5	109	4.6%	No
SPDYE3		7q22.1	AMP	18	109	16.5%	No
TRIM13		13q14.2	AMP	2	109	1.8%	No
OR2B3		6p22.1	HOMDEL	3	109	2.8%	No
PLD5		1q43	AMP	12	109	11.0%	No
TSEN34		19q13.42	HOMDEL	1	109	0.9%	No
UBE2L3		22q11.21	AMP	4	109	3.7%	No
UACA		15q23	HOMDEL	2	109	1.8%	No
OR2T33		1q44	HOMDEL	4	109	3.7%	No
MAPK1IP1L		14q22.3	AMP	6	109	5.5%	No
MTHFD1		14q23.3	HOMDEL	1	109	0.9%	No
NME3		16p13.3	AMP	14	109	12.8%	No
YBX3		12p13.2	AMP	1	109	0.9%	No
TNFRSF10A		8p21.3	AMP	2	109	1.8%	No
LGALS7B		19q13.2	AMP	21	109	19.3%	No
C5ORF52		5q33.3	AMP	1	109	0.9%	No
THAP7-AS1		22q11.21	AMP	9	109	8.3%	No
ICA1L		2q33.2	AMP	3	109	2.8%	No
PATJ		1p31.3	AMP	2	109	1.8%	No
VWA8-AS1		13q14.11	AMP	3	109	2.8%	No
RPL11		1p36.11	AMP	1	109	0.9%	No
INPP5B		1p34.3	AMP	2	109	1.8%	No
NME2		17q21.33	AMP	4	109	3.7%	No
IQSEC3		12p13.33	AMP	7	109	6.4%	No
USP36		17q25.3	HOMDEL	2	109	1.8%	No
LOC100289561		7q22.1	HOMDEL	1	109	0.9%	No
CST7		20p11.21	AMP	4	109	3.7%	No
TUBA3E		2q21.1	HOMDEL	1	109	0.9%	No
MROH8		20q11.23	HOMDEL	2	109	1.8%	No
SCEL		13q22.3	AMP	1	109	0.9%	No
GLIS3-AS1		9p24.2	HOMDEL	7	109	6.4%	No
ESR2		14q23.2-q23.3	HOMDEL	1	109	0.9%	No
LCA5		6q14.1	AMP	2	109	1.8%	No
LINC01096		4p15.33	AMP	3	109	2.8%	No
EDN1		6p24.1	HOMDEL	6	109	5.5%	No
RPL12		9q33.3	AMP	4	109	3.7%	No
NME1		17q21.33	AMP	4	109	3.7%	No
INTS2		17q23.2	HOMDEL	3	109	2.8%	No
SKP1P2		12p12.3	HOMDEL	4	109	3.7%	No
LAD1		1q32.1	AMP	7	109	6.4%	No
QSOX2		9q34.3	HOMDEL	2	109	1.8%	No
FCN2		9q34.3	HOMDEL	2	109	1.8%	No
ERVV-2		19q13.41	AMP	6	109	5.5%	No
UBE2N		12q22	AMP	1	109	0.9%	No
SCO2		22q13.33	AMP	16	109	14.7%	No
OR10X1		1q23.1	HOMDEL	1	109	0.9%	No
CEP104		1p36.32	AMP	3	109	2.8%	No
ASB6		9q34.11	HOMDEL	2	109	1.8%	No
DMBT1L1		10q26.13	AMP	2	109	1.8%	No
MTR		1q43	HOMDEL	2	109	1.8%	No
INPP5A		10q26.3	AMP	7	109	6.4%	No
COPS3		17p11.2	AMP	2	109	1.8%	No
PEX11B		1q21.1	AMP	9	109	8.3%	No
RPL13		16q24.3	AMP	12	109	11.0%	No
CCR7		17q21.2	AMP	5	109	4.6%	No
NAGA		22q13.2	HOMDEL	1	109	0.9%	No
TGFBI		5q31.1	HOMDEL	1	109	0.9%	No
DCAF1		3p21.2	AMP	1	109	0.9%	No
TENT5C		1p12	HOMDEL	4	109	3.7%	Yes
DPP10		2q14.1	HOMDEL	3	109	2.8%	No
UBE2V1		20q13.13	AMP	9	109	8.3%	No
SFT2D3		2q14.3	AMP	5	109	4.6%	No
CTSE		1q32.1	HOMDEL	1	109	0.9%	No
CPZ		4p16.1	AMP	4	109	3.7%	No
ZKSCAN5		7q22.1	AMP	11	109	10.1%	No
DYRK4		12p13.32	AMP	4	109	3.7%	No
ARHGEF16		1p36.32	HOMDEL	9	109	8.3%	No
GAREM2		2p23.3	HOMDEL	2	109	1.8%	No
RPL15		3p24.2	AMP	1	109	0.9%	No
CTNNB1		3p22.1	AMP	1	109	0.9%	Yes
DCC		18q21.2	HOMDEL	26	109	23.9%	No
GJA1		6q22.31	AMP	2	109	1.8%	No
FAM66C		12p13.31	AMP	2	109	1.8%	No
SERF1B		5q13.2	HOMDEL	6	109	5.5%	No
HCG25		6p21.32	AMP	2	109	1.8%	No
UBE2V2		8q11.21	AMP	4	109	3.7%	No
TUSC2		3p21.31	HOMDEL	5	109	4.6%	No
KCNU1		8p11.23	AMP	3	109	2.8%	No
MRAS		3q22.3	HOMDEL	1	109	0.9%	No
NAV3		12q21.2	HOMDEL	8	109	7.3%	No
CITED4		1p34.2	AMP	5	109	4.6%	No
TPD52L2		20q13.33	HOMDEL	1	109	0.9%	No
INS		11p15.5	AMP	13	109	11.9%	No
CBX4		17q25.3	AMP	10	109	9.2%	No
MANSC4		12p11.22	HOMDEL	1	109	0.9%	No
LINC00518		6p24.3	HOMDEL	4	109	3.7%	No
SPDYE2		7q22.1	AMP	10	109	9.2%	No
ATP1B3		3q23	HOMDEL	2	109	1.8%	No
DOCK4		7q31.1	AMP	3	109	2.8%	No
PCBP1-AS1		2p13.3	HOMDEL	1	109	0.9%	No
ZNF705A		12p13.31	AMP	1	109	0.9%	No
KDM4A		1p34.2-p34.1	HOMDEL	2	109	1.8%	No
SNORD32B		6p22.1	HOMDEL	3	109	2.8%	No
UBE3A		15q11.2	AMP	1	109	0.9%	No
SNORD114-10		14q32.31	HOMDEL	7	109	6.4%	No
KTN1		14q22.3	AMP	8	109	7.3%	Yes
CSAD		12q13.13	AMP	3	109	2.8%	No
CHST1		11p11.2	AMP	4	109	3.7%	No
STON1-GTF2A1L		2p16.3	AMP	2	109	1.8%	No
GTF3C2		2p23.3	HOMDEL	2	109	1.8%	No
ATP13A2		1p36.13	AMP	7	109	6.4%	No
BCL2L10		15q21.2	HOMDEL	1	109	0.9%	No
ATP6V0CP3		6p21.1	AMP	7	109	6.4%	No
DNAAF4-CCPG1		15q21.3	HOMDEL	1	109	0.9%	No
TRPM1		15q13.3	HOMDEL	3	109	2.8%	No
FTO		16q12.2	HOMDEL	1	109	0.9%	No
SDHB		1p36.13	AMP	3	109	2.8%	Yes
SPRYD7		13q14.2	AMP	1	109	0.9%	No
FBXO27		19q13.2	HOMDEL	1	109	0.9%	No
CEMIP		15q25.1	AMP	4	109	3.7%	No
ACADVL		17p13.1	HOMDEL	6	109	5.5%	No
BTN2A3P		6p22.2	AMP	2	109	1.8%	No
MLLT1		19p13.3	HOMDEL	2	109	1.8%	Yes
USP16		21q21.3	HOMDEL	1	109	0.9%	No
SH3GL1		19p13.3	HOMDEL	2	109	1.8%	Yes
ZNF232		17p13.2	HOMDEL	6	109	5.5%	No
FAM86B3P		8p23.1	HOMDEL	5	109	4.6%	No
LINC00488		3q13.13	HOMDEL	1	109	0.9%	No
PEX10		1p36.32	AMP	8	109	7.3%	No
SDHC		1q23.3	AMP	14	109	12.8%	Yes
ADGRL2		1p31.1	HOMDEL	4	109	3.7%	No
THAP11		16q22.1	AMP	7	109	6.4%	No
PSG10P		19q13.2	AMP	10	109	9.2%	No
POTEB		15q11.2	AMP	2	109	1.8%	No
TMEM43		3p25.1	HOMDEL	1	109	0.9%	No
NOCT		4q31.1	HOMDEL	6	109	5.5%	No
GAK		4p16.3	HOMDEL	3	109	2.8%	No
PEX12		17q12	AMP	2	109	1.8%	No
RBM12		20q11.22	HOMDEL	1	109	0.9%	No
SAMHD1		20q11.23	HOMDEL	2	109	1.8%	Yes
UGT2B11		4q13.2	HOMDEL	13	109	11.9%	No
OR52L1		11p15.4	AMP	4	109	3.7%	No
C2CD4D		1q21.3	AMP	14	109	12.8%	No
ZNF815P		7p22.1	AMP	8	109	7.3%	No
IFT172		2p23.3	AMP	2	109	1.8%	No
NLRP3		1q44	AMP	10	109	9.2%	No
CSKMT		11q12.3	AMP	9	109	8.3%	No
SNORD114-24		14q32.31	AMP	3	109	2.8%	No
SDHD		11q23.1	AMP	2	109	1.8%	Yes
TMEM240		1p36.33	HOMDEL	11	109	10.1%	No
TMEM217		6p21.2	HOMDEL	2	109	1.8%	No
GIHCG		12q14.1	HOMDEL	3	109	2.8%	No
SLC6A20		3p21.31	AMP	1	109	0.9%	No
VANGL2		1q23.2	AMP	14	109	12.8%	No
MANBAL		20q11.23	HOMDEL	1	109	0.9%	No
PEX13		2p15	AMP	4	109	3.7%	No
KCNG2		18q23	HOMDEL	13	109	11.9%	No
POTEKP		2q21.1	AMP	2	109	1.8%	No
GUCY2EP		11q13.5	AMP	4	109	3.7%	No
PTCRA		6p21.1	HOMDEL	2	109	1.8%	No
LINC01097		4p15.33	AMP	3	109	2.8%	No
LINC02418		12q24.33	AMP	1	109	0.9%	No
CACNG7		19q13.42	HOMDEL	2	109	1.8%	No
BLNK		10q24.1	AMP	1	109	0.9%	No
SLC20A2		8p11.21	HOMDEL	1	109	0.9%	No
SPSB1		1p36.22	HOMDEL	8	109	7.3%	No
SNORD114-23		14q32.31	AMP	3	109	2.8%	No
CUBN		10p13	HOMDEL	1	109	0.9%	No
TTC7A		2p21	AMP	4	109	3.7%	No
MBD1		18q21.1	HOMDEL	24	109	22.0%	No
PEX14		1p36.22	AMP	6	109	5.5%	No
GLI2		2q14.2	HOMDEL	2	109	1.8%	No
LTK		15q15.1	HOMDEL	2	109	1.8%	Yes
NOP2		12p13.31	AMP	10	109	9.2%	No
ARRDC3-AS1		5q14.3	AMP	1	109	0.9%	No
EXOSC2		9q34.12	AMP	3	109	2.8%	No
