Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
TUBA1B		12q13.12	HOMDEL	1	184	0.5%	No
BIVM		13q33.1	AMP	1	184	0.5%	No
NAF1		4q32.2	HOMDEL	1	184	0.5%	No
RMDN1		8q21.3	AMP	7	184	3.8%	No
PCDHA5		5q31.3	AMP	2	184	1.1%	No
SMIM26		20p11.23	HOMDEL	1	184	0.5%	No
LIMA1		12q13.12	HOMDEL	1	184	0.5%	No
LINC02900		5q31.1	HOMDEL	1	184	0.5%	No
TMEM131L		4q31.3	HOMDEL	1	184	0.5%	No
LINC00293		8q11.1	AMP	7	184	3.8%	No
CFHR5		1q31.3	AMP	3	184	1.6%	No
TMEM98		17q11.2	AMP	4	184	2.2%	No
NOC2L		1p36.33	AMP	3	184	1.6%	No
LINC01372		7q11.21	AMP	3	184	1.6%	No
ZNF521		18q11.2	AMP	12	184	6.5%	Yes
GNL2		1p34.3	AMP	1	184	0.5%	No
CPNE8		12q12	AMP	7	184	3.8%	No
ITPKB		1q42.12	HOMDEL	1	184	0.5%	Yes
INTS11		1p36.33	AMP	3	184	1.6%	No
ZNF576		19q13.31	AMP	4	184	2.2%	No
APTX		9p21.1	AMP	4	184	2.2%	No
F11-AS1		4q35.2	HOMDEL	2	184	1.1%	No
FBXL20		17q12	AMP	7	184	3.8%	No
PCOLCE-AS1		7q22.1	AMP	6	184	3.3%	No
KRTAP3-1		17q21.2	AMP	3	184	1.6%	No
SLC27A4		9q34.11	HOMDEL	1	184	0.5%	No
ANAPC2		9q34.3	AMP	1	184	0.5%	No
UTP11		1p34.3	AMP	2	184	1.1%	No
PKD1L1		7p12.3	AMP	2	184	1.1%	No
CNGB3		8q21.3	AMP	7	184	3.8%	No
SIDT1		3q13.2	AMP	1	184	0.5%	No
THEM5		1q21.3	AMP	6	184	3.3%	No
NKPD1		19q13.32	AMP	4	184	2.2%	No
THTPA		14q11.2	AMP	1	184	0.5%	No
LINC01882		18p11.21	AMP	4	184	2.2%	No
PTK2		8q24.3	HOMDEL	1	184	0.5%	No
HMGN4		6p22.2	AMP	1	184	0.5%	No
KRTAP1-5		17q21.2	AMP	3	184	1.6%	No
ARAF		Xp11.3	AMP	1	184	0.5%	Yes
TRIM38		6p22.2	AMP	2	184	1.1%	No
CCDC80		3q13.2	AMP	1	184	0.5%	No
H4C16		12p12.3	AMP	5	184	2.7%	No
ADAR		1q21.3	AMP	8	184	4.3%	No
CNOT7		8p22	AMP	1	184	0.5%	No
WDR45B		17q25.3	AMP	2	184	1.1%	No
NANP		20p11.21	AMP	1	184	0.5%	No
CNKSR1		1p36.11	HOMDEL	2	184	1.1%	No
PPP1R37		19q13.32	AMP	5	184	2.7%	No
CFAP53		18q21.1	HOMDEL	5	184	2.7%	No
APOBR		16p12.1	AMP	1	184	0.5%	No
NUPR2		7p11.2	AMP	1	184	0.5%	No
SNORD116-17		15q11.2	HOMDEL	1	184	0.5%	No
RIIAD1		1q21.3	AMP	6	184	3.3%	No
TUSC1		9p21.2	HOMDEL	14	184	7.6%	No
ERLIN1		10q24.31	HOMDEL	1	184	0.5%	No
SCML2		Xp22.13	HOMDEL	1	184	0.5%	No
BARX1		9q22.32	HOMDEL	1	184	0.5%	No
HAPLN3		15q26.1	AMP	4	184	2.2%	No
SSX6P		Xp11.23	AMP	2	184	1.1%	No
SOSTDC1		7p21.2	AMP	1	184	0.5%	No
BEX4		Xq22.1	AMP	1	184	0.5%	No
MTMR7		8p22	HOMDEL	2	184	1.1%	No
CCM2L		20q11.21	AMP	1	184	0.5%	No
ADARB1		21q22.3	AMP	1	184	0.5%	No
CISH		3p21.2	HOMDEL	1	184	0.5%	No
PPP1R18		6p21.33	AMP	3	184	1.6%	No
RAB3IP		12q15	AMP	5	184	2.7%	No
KCTD15		19q13.11	AMP	7	184	3.8%	No
RAB4A		1q42.13	HOMDEL	1	184	0.5%	No
PFDN6		6p21.32	AMP	1	184	0.5%	No
LINC01189		9q13	AMP	3	184	1.6%	No
PHF8		Xp11.22	HOMDEL	1	184	0.5%	No
ZNF737		19p12	AMP	1	184	0.5%	No
SH3GL2		9p22.2	HOMDEL	3	184	1.6%	No
ESRP1		8q22.1	AMP	9	184	4.9%	No
GEMIN5		5q33.2	AMP	2	184	1.1%	No
SPATA16		3q26.31	AMP	4	184	2.2%	No
RTP2		3q27.3	AMP	3	184	1.6%	No
ERP27		12p12.3	AMP	5	184	2.7%	No
ADARB2		10p15.3	AMP	1	184	0.5%	Yes
UBE2Q2P1		15q25.2	AMP	3	184	1.6%	No
CHD5		1p36.31	HOMDEL	2	184	1.1%	No
SBDS		7q11.21	AMP	3	184	1.6%	Yes
SLC25A38		3p22.1	AMP	1	184	0.5%	No
CSRNP3		2q24.3	AMP	1	184	0.5%	No
MRPL52		14q11.2	AMP	1	184	0.5%	No
CEP72-DT		5p15.33	AMP	1	184	0.5%	No
LRRC47		1p36.32	AMP	3	184	1.6%	No
ATP2A1-AS1		16p11.2	AMP	1	184	0.5%	No
ZBTB18		1q44	AMP	4	184	2.2%	No
C12ORF56		12q14.2	AMP	2	184	1.1%	No
FAM111A-DT		11q12.1	AMP	1	184	0.5%	No
LRSAM1		9q33.3-q34.11	HOMDEL	1	184	0.5%	No
CELA3A		1p36.12	HOMDEL	2	184	1.1%	No
RAP1B		12q15	AMP	5	184	2.7%	No
SAMD10		20q13.33	AMP	2	184	1.1%	No
SLC25A17		22q13.2	AMP	3	184	1.6%	No
FNDC1		6q25.3	HOMDEL	1	184	0.5%	No
GAGE2C		Xp11.23	AMP	1	184	0.5%	No
TRIP6		7q22.1	AMP	6	184	3.3%	No
ALOX12		17p13.1	AMP	1	184	0.5%	No
IGSF21		1p36.13	AMP	1	184	0.5%	No
DLGAP2		8p23.3	HOMDEL	4	184	2.2%	No
KCNJ16		17q24.3	AMP	3	184	1.6%	No
POMP		13q12.3	AMP	1	184	0.5%	No
TDRD10		1q21.3	AMP	8	184	4.3%	No
LRTM2		12p13.33	AMP	7	184	3.8%	No
CPT2		1p32.3	AMP	1	184	0.5%	No
RHD		1p36.11	AMP	1	184	0.5%	No
FAM106A		17p11.2	AMP	2	184	1.1%	No
BCAS1		20q13.2	AMP	3	184	1.6%	No
RAP1GAP		1p36.12	AMP	1	184	0.5%	No
SLC9A6		Xq26.3	AMP	2	184	1.1%	No
IBA57-DT		1q42.13	HOMDEL	1	184	0.5%	No
PSMD14		2q24.2	AMP	2	184	1.1%	No
PDIA4		7q36.1	AMP	1	184	0.5%	No
GPAA1		8q24.3	HOMDEL	1	184	0.5%	No
ABHD16B		20q13.33	AMP	2	184	1.1%	No
ADCY1		7p12.3	AMP	1	184	0.5%	No
KRTAP9-2		17q21.2	AMP	3	184	1.6%	No
HDAC9		7p21.1	AMP	1	184	0.5%	No
SNHG18		5p15.31	AMP	2	184	1.1%	No
LINC01250		2p25.3	HOMDEL	1	184	0.5%	No
LSM10		1p34.3	AMP	1	184	0.5%	No
COX4I2		20q11.21	AMP	1	184	0.5%	No
DNAH14		1q42.12	AMP	3	184	1.6%	No
FAM110D		1p36.11	HOMDEL	2	184	1.1%	No
LOXHD1		18q21.1	AMP	1	184	0.5%	No
RAB12		18p11.22	AMP	6	184	3.3%	No
TTLL11		9q33.2	HOMDEL	1	184	0.5%	No
TBC1D26		17p12	AMP	1	184	0.5%	No
C8ORF48		8p22	HOMDEL	2	184	1.1%	No
NECAP2		1p36.13	HOMDEL	2	184	1.1%	No
PSMB11		14q11.2	AMP	1	184	0.5%	No
SOX14		3q22.3	AMP	1	184	0.5%	No
RHEB		7q36.1	AMP	1	184	0.5%	Yes
API5		11p12	AMP	3	184	1.6%	No
ATP5PD		17q25.1	AMP	2	184	1.1%	No
ACVR2B-AS1		3p22.2	AMP	1	184	0.5%	No
RNF14		5q31.3	AMP	2	184	1.1%	No
GPRASP1		Xq22.1	AMP	1	184	0.5%	No
ADCY2		5p15.31	AMP	1	184	0.5%	No
ZNF598		16p13.3	AMP	1	184	0.5%	No
FRG2EP		20q11.1	AMP	1	184	0.5%	No
PNMA6A		Xq28	AMP	4	184	2.2%	No
CPT1A		11q13.3	AMP	3	184	1.6%	No
MRPS17		7p11.2	AMP	1	184	0.5%	No
FLOT1		6p21.33	AMP	3	184	1.6%	No
CCL26		7q11.23	AMP	2	184	1.1%	No
NDST3		4q26	HOMDEL	1	184	0.5%	No
SETDB1		1q21.3	AMP	5	184	2.7%	Yes
LCN2		9q34.11	HOMDEL	1	184	0.5%	No
NFE2L3		7p15.2	AMP	1	184	0.5%	No
SNORD116-4		15q11.2	HOMDEL	1	184	0.5%	No
KRTAP3-2		17q21.2	AMP	3	184	1.6%	No
THBS2		6q27	HOMDEL	1	184	0.5%	No
TOPORS		9p21.1	AMP	4	184	2.2%	No
DLGAP1-AS3		18p11.31	AMP	4	184	2.2%	No
SPOP		17q21.33	AMP	4	184	2.2%	Yes
KCNJ14		19q13.33	AMP	2	184	1.1%	No
AQP7		9p13.3	HOMDEL	1	184	0.5%	No
BARX2		11q24.3	AMP	1	184	0.5%	No
ABCA10		17q24.3	AMP	3	184	1.6%	No
CACNA1C-AS1		12p13.33	AMP	6	184	3.3%	No
PRG4		1q31.1	AMP	5	184	2.7%	No
LACTB2		8q13.3	AMP	7	184	3.8%	No
TEX47		7q21.13	AMP	8	184	4.3%	No
NAIF1		9q34.11	HOMDEL	1	184	0.5%	No
PLOD1		1p36.22	HOMDEL	2	184	1.1%	No
FMN2		1q43	HOMDEL	1	184	0.5%	No
CYC1		8q24.3	HOMDEL	1	184	0.5%	No
LINC01726		20p11.22	AMP	4	184	2.2%	No
TMEM132A		11q12.2	AMP	1	184	0.5%	No
CFAP74		1p36.33	HOMDEL	1	184	0.5%	No
RPS18P9		6q25.1	HOMDEL	1	184	0.5%	No
DET1		15q26.1	AMP	4	184	2.2%	No
SLC39A14		8p21.3	HOMDEL	2	184	1.1%	No
PRR15L		17q21.32	AMP	4	184	2.2%	No
AJUBA		14q11.2	AMP	1	184	0.5%	Yes
TMEM201		1p36.22	AMP	2	184	1.1%	No
CTDSPL		3p22.2	AMP	1	184	0.5%	No
FLRT1		11q13.1	HOMDEL	1	184	0.5%	No
TAGLN2		1q23.2	AMP	6	184	3.3%	No
ZNF461		19q13.13	AMP	7	184	3.8%	No
ZMIZ2		7p13	AMP	1	184	0.5%	No
SEC23B		20p11.23	HOMDEL	1	184	0.5%	No
HABP4		9q22.32	HOMDEL	1	184	0.5%	No
NKX6-3		8p11.21	AMP	4	184	2.2%	No
GAD1		2q31.1	AMP	1	184	0.5%	No
VPS9D1		16q24.3	AMP	2	184	1.1%	No
SPOCD1		1p35.2	AMP	1	184	0.5%	No
PTOV1-AS1		19q13.33	AMP	2	184	1.1%	No
BANP		16q24.2	AMP	2	184	1.1%	No
VWA5B1		1p36.12	AMP	1	184	0.5%	No
NEUROG1		5q31.1	HOMDEL	1	184	0.5%	No
PCYT1B		Xp22.11	HOMDEL	1	184	0.5%	No
MCHR2-AS1		6q16.2-q16.3	HOMDEL	1	184	0.5%	No
RBM42		19q13.12	AMP	6	184	3.3%	No
CPS1		2q34	AMP	3	184	1.6%	Yes
SORBS2		4q35.1	HOMDEL	1	184	0.5%	No
ADTRP		6p24.1	AMP	2	184	1.1%	No
ANGPT4		20p13	AMP	1	184	0.5%	No
ABCA7		19p13.3	AMP	1	184	0.5%	No
C19ORF12		19q12	AMP	7	184	3.8%	No
SSX3		Xp11.23	AMP	2	184	1.1%	No
SLC5A10		17p11.2	AMP	4	184	2.2%	No
FGF1		5q31.3	HOMDEL	1	184	0.5%	Yes
ZNF674-AS1		Xp11.3	HOMDEL	1	184	0.5%	No
ARF3		12q13.12	HOMDEL	1	184	0.5%	No
OR6B3		2q37.3	AMP	2	184	1.1%	No
PEF1		1p35.2	AMP	1	184	0.5%	No
ALKBH6		19q13.12	AMP	6	184	3.3%	No
ZNF251		8q24.3	AMP	16	184	8.7%	No
USP17L19		4p16.1	AMP	1	184	0.5%	No
PLXNB1		3p21.31	HOMDEL	1	184	0.5%	No
CPN2		3q29	AMP	3	184	1.6%	No
ACTG1P20		1p36.11	HOMDEL	2	184	1.1%	No
UXT		Xp11.23	AMP	1	184	0.5%	No
UCHL5		1q31.2	AMP	4	184	2.2%	No
ZNF585B		19q13.12	AMP	7	184	3.8%	No
OLIG2		21q22.11	AMP	1	184	0.5%	Yes
LINC01020		5p15.32	AMP	1	184	0.5%	No
DDX12P		12p13.31	AMP	3	184	1.6%	No
KMT5B		11q13.2	AMP	2	184	1.1%	No
ZNF705B		8p23.1	AMP	4	184	2.2%	No
TRUB2		9q34.11	HOMDEL	1	184	0.5%	No
RFX6		6q22.1	HOMDEL	1	184	0.5%	No
CEMP1		16p13.3	AMP	1	184	0.5%	No
ANKRD36BP1		1q24.2	AMP	6	184	3.3%	No
LINC00989		4q21.21	AMP	1	184	0.5%	No
UBXN10		1p36.12	AMP	1	184	0.5%	No
ASPM		1q31.3	AMP	3	184	1.6%	No
LINC02171		4p16.3	AMP	1	184	0.5%	No
SHE		1q21.3	AMP	8	184	4.3%	No
C8ORF34		8q13.2	HOMDEL	1	184	0.5%	No
TTC39C-AS1		18q11.2	AMP	22	184	12.0%	No
LCE3A		1q21.3	AMP	7	184	3.8%	No
GORASP1		3p22.2	AMP	1	184	0.5%	No
KCNJ13		2q37.1	AMP	2	184	1.1%	No
CHD2		15q26.1	AMP	4	184	2.2%	Yes
SECTM1		17q25.3	AMP	1	184	0.5%	No
MED27		9q34.13	HOMDEL	1	184	0.5%	No
ZNF699		19p13.2	AMP	1	184	0.5%	No
RPL8		8q24.3	AMP	16	184	8.7%	No
PCSK1N		Xp11.23	HOMDEL	1	184	0.5%	No
PRDM10-DT		11q24.3	AMP	1	184	0.5%	No
USPL1		13q12.3	AMP	1	184	0.5%	No
ZNF532		18q21.32	HOMDEL	5	184	2.7%	No
SLC7A13		8q21.3	AMP	7	184	3.8%	No
FAM227B		15q21.2	HOMDEL	2	184	1.1%	No
EIF3B		7p22.3	AMP	3	184	1.6%	No
NDUFA7		19p13.2	AMP	1	184	0.5%	No
STXBP1		9q34.11	HOMDEL	1	184	0.5%	No
OGDH		7p13	AMP	1	184	0.5%	No
ZFHX4-AS1		8q21.13	AMP	8	184	4.3%	No
MTSS2		16q22.1	AMP	1	184	0.5%	No
LCE2D		1q21.3	AMP	7	184	3.8%	No
KCNJ12		17p11.2	AMP	2	184	1.1%	No
INPP5D		2q37.1	AMP	2	184	1.1%	Yes
RPL9		4p14	AMP	1	184	0.5%	No
KCNE2		21q22.11	AMP	2	184	1.1%	No
E2F2		1p36.12	HOMDEL	2	184	1.1%	No
MEF2B		19p13.11	AMP	1	184	0.5%	Yes
HCG23		6p21.32	AMP	4	184	2.2%	No
EIF1		17q21.2	AMP	3	184	1.6%	No
TBC1D32		6q22.31	HOMDEL	1	184	0.5%	No
PAQR7		1p36.11	AMP	1	184	0.5%	No
RAB37		17q25.1	AMP	3	184	1.6%	No
FOXM1		12p13.33	AMP	6	184	3.3%	No
PTENP1		9p13.3	HOMDEL	1	184	0.5%	No
NYAP1		7q22.1	AMP	6	184	3.3%	No
RGS7		1q43	AMP	4	184	2.2%	No
ZNF45		19q13.31	AMP	4	184	2.2%	No
SNORD100		6q23.2	HOMDEL	1	184	0.5%	No
NDUFA6		22q13.2	AMP	3	184	1.6%	No
UFSP2		4q35.1	HOMDEL	1	184	0.5%	No
ASCL5		1q32.1	AMP	3	184	1.6%	No
SPDYE3		7q22.1	AMP	7	184	3.8%	No
POLR1E		9p13.2	AMP	1	184	0.5%	No
PLD5		1q43	AMP	4	184	2.2%	No
KCNJ11		11p15.1	AMP	1	184	0.5%	No
RPL10		Xq28	AMP	4	184	2.2%	Yes
LCE3C		1q21.3	AMP	7	184	3.8%	No
RCC1		1p35.3	AMP	1	184	0.5%	No
CCR8		3p22.1	AMP	1	184	0.5%	No
WEE1		11p15.4	AMP	1	184	0.5%	No
ZNF630		Xp11.23	HOMDEL	1	184	0.5%	No
MED24		17q21.1	AMP	6	184	3.3%	No
OR2T33		1q44	HOMDEL	1	184	0.5%	No
CBY3		5q35.3	AMP	2	184	1.1%	No
CARD8-AS1		19q13.33	AMP	1	184	0.5%	No
GABRP		5q35.1	AMP	2	184	1.1%	No
FOXJ1		17q25.1	AMP	1	184	0.5%	No
NME3		16p13.3	AMP	1	184	0.5%	No
EIF3D		22q12.3	AMP	2	184	1.1%	No
YBX3		12p13.2	AMP	4	184	2.2%	No
CCDC65		12q13.12	HOMDEL	1	184	0.5%	No
LGALS7B		19q13.2	AMP	13	184	7.1%	No
C5ORF52		5q33.3	AMP	2	184	1.1%	No
ICA1L		2q33.2	AMP	3	184	1.6%	No
RPL11		1p36.11	AMP	1	184	0.5%	No
ACKR2		3p22.1	AMP	1	184	0.5%	No
KCNJ10		1q23.2	AMP	6	184	3.3%	No
INPP5B		1p34.3	AMP	1	184	0.5%	No
NME2		17q21.33	AMP	5	184	2.7%	No
LCE3B		1q21.3	AMP	7	184	3.8%	No
TRH		3q22.1	AMP	1	184	0.5%	No
WFS1		4p16.1	AMP	1	184	0.5%	No
IQSEC3		12p13.33	AMP	8	184	4.3%	No
LAMA1		18p11.31	AMP	5	184	2.7%	No
FOXC2		16q24.1	AMP	2	184	1.1%	No
CST7		20p11.21	AMP	1	184	0.5%	No
RGS12		4p16.3	AMP	1	184	0.5%	No
EIF3C		16p11.2	AMP	1	184	0.5%	No
SCEL		13q22.3	AMP	1	184	0.5%	No
GLIS3-AS1		9p24.2	HOMDEL	1	184	0.5%	No
PRSS37		7q34	AMP	1	184	0.5%	No
CPM		12q15	AMP	5	184	2.7%	No
LINC01193		15q11.2	HOMDEL	1	184	0.5%	No
NME1		17q21.33	AMP	5	184	2.7%	No
KCNJ9		1q23.2	AMP	6	184	3.3%	No
LAD1		1q32.1	AMP	3	184	1.6%	No
TRHR		8q23.1	AMP	12	184	6.5%	No
FOXL1		16q24.1	AMP	2	184	1.1%	No
ERVV-2		19q13.41	AMP	2	184	1.1%	No
CEP104		1p36.32	AMP	3	184	1.6%	No
ASB6		9q34.11	HOMDEL	1	184	0.5%	No
FGF21		19q13.33	AMP	2	184	1.1%	No
MTR		1q43	HOMDEL	1	184	0.5%	No
GABRG2		5q34	AMP	2	184	1.1%	No
RGS13		1q31.2	AMP	4	184	2.2%	No
COPS3		17p11.2	AMP	1	184	0.5%	No
PEX11B		1q21.1	AMP	8	184	4.3%	No
RPL13		16q24.3	AMP	2	184	1.1%	No
CCR7		17q21.2	AMP	3	184	1.6%	No
LCE3E		1q21.3	AMP	7	184	3.8%	No
L1CAM		Xq28	AMP	4	184	2.2%	No
TGFBI		5q31.1	HOMDEL	1	184	0.5%	No
UBE2V1		20q13.13	AMP	2	184	1.1%	No
MAGI2		7q21.11	AMP	2	184	1.1%	Yes
RANGAP1		22q13.2	AMP	4	184	2.2%	No
NSD2		4p16.3	AMP	4	184	2.2%	Yes
ORM2		9q32	HOMDEL	1	184	0.5%	No
GALNT8		12p13.32	AMP	5	184	2.7%	No
GABRG3		15q12	AMP	1	184	0.5%	No
KCNJ8		12p12.1	AMP	4	184	2.2%	No
CPZ		4p16.1	AMP	1	184	0.5%	No
ZKSCAN5		7q22.1	AMP	7	184	3.8%	No
RGS16		1q25.3	AMP	5	184	2.7%	No
DYRK4		12p13.32	AMP	5	184	2.7%	No
LINC00575		4q21.22	AMP	1	184	0.5%	No
ARHGEF16		1p36.32	HOMDEL	1	184	0.5%	No
AKAP4		Xp11.22	HOMDEL	2	184	1.1%	No
RPL15		3p24.2	AMP	1	184	0.5%	No
CTNNB1		3p22.1	AMP	1	184	0.5%	Yes
GABRE		Xq28	AMP	4	184	2.2%	No
DCC		18q21.2	HOMDEL	8	184	4.3%	No
PITPNM1		11q13.2	AMP	1	184	0.5%	No
CCT3		1q22	AMP	7	184	3.8%	No
FAM66C		12p13.31	AMP	3	184	1.6%	No
HCG25		6p21.32	AMP	1	184	0.5%	No
UBE2V2		8q11.21	AMP	6	184	3.3%	No
TUSC2		3p21.31	HOMDEL	1	184	0.5%	No
NELFA		4p16.3	AMP	4	184	2.2%	No
KCNU1		8p11.23	AMP	5	184	2.7%	No
CITED4		1p34.2	AMP	1	184	0.5%	No
NNT		5p12	AMP	2	184	1.1%	No
CLDN7		17p13.1	AMP	1	184	0.5%	No
CCR4		3p22.3	AMP	1	184	0.5%	No
RHAG		6p12.3	AMP	2	184	1.1%	No
CBX4		17q25.3	AMP	1	184	0.5%	No
SPDYE2		7q22.1	AMP	3	184	1.6%	No
EDA		Xq13.1	HOMDEL	1	184	0.5%	No
PRRC1		5q23.2	AMP	1	184	0.5%	No
TCF7		5q31.1	HOMDEL	1	184	0.5%	No
DOCK4		7q31.1	AMP	1	184	0.5%	No
TRIL		7p14.3	AMP	1	184	0.5%	No
ZNF705A		12p13.31	AMP	3	184	1.6%	No
SHANK3		22q13.33	HOMDEL	3	184	1.6%	No
TRIO		5p15.2	AMP	1	184	0.5%	No
LOHAN2		16q22.3	AMP	1	184	0.5%	No
NCF1		7q11.23	AMP	3	184	1.6%	No
CHAD		17q21.33	AMP	5	184	2.7%	No
CSAD		12q13.13	AMP	1	184	0.5%	No
KCNJ5		11q24.3	AMP	1	184	0.5%	Yes
CHST1		11p11.2	AMP	1	184	0.5%	No
RHCE		1p36.11	AMP	1	184	0.5%	No
EIF3H		8q23.3-q24.11	AMP	14	184	7.6%	No
POLI		18q21.2	HOMDEL	6	184	3.3%	No
AIRN		6q25.3	HOMDEL	1	184	0.5%	No
NXT2		Xq23	AMP	1	184	0.5%	No
ZNF721		4p16.3	AMP	4	184	2.2%	No
ATP13A2		1p36.13	AMP	1	184	0.5%	No
PTPN23		3p21.31	AMP	1	184	0.5%	No
NAMA		9q22.33	HOMDEL	1	184	0.5%	No
BCL2L10		15q21.2	HOMDEL	1	184	0.5%	No
ATP6V0CP3		6p21.1	AMP	3	184	1.6%	No
TRPM1		15q13.3	HOMDEL	1	184	0.5%	No
ATP2B1-AS1		12q21.33	HOMDEL	1	184	0.5%	No
SDHB		1p36.13	AMP	1	184	0.5%	Yes
NDUFB3		2q33.1	AMP	3	184	1.6%	No
CEMIP		15q25.1	AMP	3	184	1.6%	No
ACADVL		17p13.1	HOMDEL	1	184	0.5%	No
BTN2A3P		6p22.2	AMP	1	184	0.5%	No
FAM86B3P		8p23.1	HOMDEL	3	184	1.6%	No
ZNF451-AS1		6p12.1	AMP	3	184	1.6%	No
AMIGO2		12q13.11	HOMDEL	1	184	0.5%	No
PEX10		1p36.32	AMP	3	184	1.6%	No
PTGER4P2-CDK2AP2P2		9q13	HOMDEL	2	184	1.1%	No
LANCL2		7p11.2	AMP	1	184	0.5%	No
SCML1		Xp22.13	HOMDEL	1	184	0.5%	No
SDHC		1q23.3	AMP	6	184	3.3%	Yes
DEFA11P		8p23.1	HOMDEL	3	184	1.6%	No
TRIM17		1q42.13	HOMDEL	1	184	0.5%	No
NDUFB2		7q34	AMP	1	184	0.5%	No
PSG10P		19q13.2	AMP	4	184	2.2%	No
TTYH1		19q13.42	AMP	2	184	1.1%	No
MMD		17q22	AMP	1	184	0.5%	No
PEX12		17q12	AMP	3	184	1.6%	No
CTDNEP1		17p13.1	HOMDEL	1	184	0.5%	Yes
LINC02912		8q24.21	AMP	21	184	11.4%	No
SPATA31J1		5q35.3	AMP	2	184	1.1%	No
UGT2B11		4q13.2	HOMDEL	1	184	0.5%	No
C2CD4D		1q21.3	AMP	6	184	3.3%	No
ZNF815P		7p22.1	AMP	1	184	0.5%	No
UTRN		6q24.2	HOMDEL	1	184	0.5%	No
NLRP3		1q44	AMP	4	184	2.2%	No
BTLA		3q13.2	AMP	1	184	0.5%	Yes
CSKMT		11q12.3	AMP	1	184	0.5%	No
SDHD		11q23.1	AMP	1	184	0.5%	Yes
ASCC3		6q16.3	HOMDEL	1	184	0.5%	No
TMEM240		1p36.33	HOMDEL	1	184	0.5%	No
SOCS3-DT		17q25.3	AMP	1	184	0.5%	No
VANGL2		1q23.2	AMP	6	184	3.3%	No
DEF8		16q24.3	AMP	2	184	1.1%	No
DELE1		5q31.3	HOMDEL	1	184	0.5%	No
KCNG2		18q23	HOMDEL	4	184	2.2%	No
POTEKP		2q21.1	AMP	1	184	0.5%	No
PSMC3IP		17q21.2	AMP	3	184	1.6%	No
SPEN		1p36.21-p36.13	HOMDEL	2	184	1.1%	Yes
SPSB1		1p36.22	HOMDEL	2	184	1.1%	No
BCR		22q11.23	HOMDEL	1	184	0.5%	Yes
IGHMBP2		11q13.3	AMP	3	184	1.6%	No
