Gene,49,Experimentally validated?,Studies in pancreatic cancer,RP-LIT score,GPT-LIT score,CHATGPT score,Weighted score,Mutationfrequency(cBioportalTCGAPanCancerAtlas),GETlistscore,GTlistscore,Expressionlistscore,Weighted Mutationfrequency(cBioportalTCGAPanCancerAtlas) score,weighted CNA(CBIOPORTALTCGAPANCANCERATLAS)score,weighted Mutationfrequency(CbioportalUTSWNatCommun2015) score,weighted CNA(CBIOPORTALUTSWNATCOMMUN2015,Combined weighted score (all BEERE lists),cumulative weighted organ expression score,Mutationfrequency(CbioportalUTSWNatCommun2015),CNA(CBIOPORTALTCGAPANCANCERATLAS),CNA(CBIOPORTALUTSWNATCOMMUN2015,weighted GETlistscore,GETlistrank,weighted GTlistscore,weighted GTlistscore,GTlistrank,weighted Expression listscore,Expressionlistrank,brain expression,Weighted brain expression score,gastrointestinal expression,weighted gastrointestinal expression score,liver expression,weighted liver expression score,kidney expression,weighted kidney expression score,studies of gene in pancreatic cancer(last 10 years),Occurance,,,,
TGFB2,,Yes,,,,180,3.9,0,6,1.4,5,0,0.0768,-0.0207,2.0301,0.48476,-0.511,0.9,1.6,10.1,0.5134,880,-0.08704,-0.4352,582,0.40656,1008,4,-0.204,1.4,-0.133,0.6,-0.0606,1.4,-0.1134,,1,,,,
EGF,,Yes,,,,310,3.7,1.7,55,2,56,0.1343,0,-0.0207,0.5628,8.99032,-8.633,0.9,0,2.8,4.6852,113,-0.13056,-0.6528,289,4.95792,101,0.1,-0.0051,0.1,-0.0095,0,0,106.4,-8.6184,,1,,,,
AKT1,,Yes,,,,290,3.7,0,115,4.7,113,0,0,0,2.0301,18.17475,-22.727,0,0,10.1,9.73675,20,-0.30208,-1.5104,90,9.9484,19,48,-2.448,66,-6.27,97,-9.797,52,-4.212,,1,,,,
FLT4,,Yes,14,0.258,15.714,220,3.6,3.4,7,11.6,7,0.2686,0.0528,-0.0207,1.1055,-2.53872,-2.6586,0.9,1.1,5.5,0.5644,793,-0.74048,-3.7024,37,0.59928,598,2,-0.102,3.8,-0.361,6.1,-0.6161,19.5,-1.5795,6,8,,,,
FCGR3B,,Yes,,,,220,3.5,0.6,0,2.1,0,0.0474,0.1584,-0.0851,2.211,-0.6656,-0.869,3.7,3.3,11,0,0,-0.13312,-0.6656,256,0,na,1.2,-0.0612,1.1,-0.1045,5.6,-0.5656,1.7,-0.1377,,2,,,,
MET,,Yes,,,,285,2.8,0.6,44,1.4,43,0.0474,0,0,0.5628,7.09164,-6.73,0,0,2.8,3.7094,187,-0.08704,-0.4352,586,3.81744,160,2,-0.102,9,-0.855,41.6,-4.2016,19.4,-1.5714,,4,,,,
KCNA1,,Yes,1,2.743,220,220,2.7,1.1,0,10.2,0,0.0869,0.1296,-0.0851,0.7437,-3.2512,-1.383,3.7,2.7,3.7,0,0,-0.65024,-3.2512,44,0,na,26,-1.326,0.6,-0.057,0,0,0,0,0,1,,,,
SSTR5,,Yes,,,,255,2.6,1.1,2,0,1,0.0869,0,0,2.5728,0.22598,-0.2509,0,0,12.8,0.1547,3592,0,0,0,0.07128,6391,0.1,-0.0051,0.2,-0.019,0,0,2.8,-0.2268,,5,,,,
MSLN,,Yes,,,,295,2.6,0.6,0,0,0,0.0474,0,-0.0207,3.4974,0,-0.9462,0.9,0,17.4,0,0,0,0,0,0,na,0.7,-0.0357,4,-0.38,0.2,-0.0202,6.3,-0.5103,,1,,,,
PDCD1,,Yes,,,,280,2.5,0.6,2,0,1,0.0474,0.0528,-0.0414,2.3919,0.30678,-0.2922,1.8,1.1,11.9,0.2091,2492,0,0,0,0.09768,4741,0.1,-0.0051,2,-0.19,0.4,-0.0404,0.7,-0.0567,,9,,,,
PTK6,,Yes,,,,180,2.4,0,2,0,2,0,0.0528,0,4.2411,0.33829,-2.1899,0,1.1,21.1,0.16405,3235,0,0,0,0.17424,2509,0.1,-0.0051,17,-1.615,5,-0.505,0.8,-0.0648,,2,,,,
KIT,,Yes,,,,210,2.4,0.6,1,1,32,0.0474,0.024,0,0.1809,2.6128,-1.809,0,0.5,0.9,0.1156,281,-0.06464,-0.3232,1189,2.8204,219,6,-0.306,8,-0.76,0.7,-0.0707,8.3,-0.6723,,4,,,,
ADRA1D,,Yes,,,,150,2.1,0,3,1.3,3,0,0,0,0.3618,0.0866,-0.1614,0,0,1.8,0.2822,1805,-0.08576,-0.4288,623,0.2332,1907,1,-0.051,0.8,-0.076,0.1,-0.0101,0.3,-0.0243,,1,,,,
JAK3,,Yes,,,,180,1.9,0.6,9,0,9,0.0474,0,0,1.4673,1.53102,-1.1558,0,0,7.3,0.7531,606,0,0,0,0.77792,446,2,-0.102,3,-0.285,2.8,-0.2828,6,-0.486,,3,,,,
TUBB1,,Yes,,,,180,1.9,0.6,2,0,2,0.0474,0.0768,0,1.4673,0.35432,-0.0581,0,1.6,7.3,0.1836,2964,0,0,0,0.17072,2686,0.2,-0.0102,0.1,-0.0095,0.3,-0.0303,0.1,-0.0081,,2,,,,
CDK6,,Yes,,,,230,1.7,0,6,1.7,5,0,0.2064,0,0.5628,0.44212,-1.7441,0,4.3,2.8,0.527,866,-0.11008,-0.5504,355,0.46552,829,3.2,-0.1632,7,-0.665,5.7,-0.5757,4.2,-0.3402,,1,,,,
LIG1,,Yes,,,,215,1.5,0.6,2,0,2,0.0474,0.024,-0.0207,2.211,0.33056,-1.064,0.9,0.5,11,0.1836,2956,0,0,0,0.14696,3164,1.6,-0.0816,5,-0.475,3.5,-0.3535,1.9,-0.1539,,1,,,,
P3H3,,Yes,,,,150,1.5,0,0,0,0,0,0.1296,0,2.0301,0,-0.643,0,2.7,10.1,0,0,0,0,0,0,na,3,-0.153,2.9,-0.2755,0.6,-0.0606,1.9,-0.1539,,1,,,,
LTA,,Yes,,,,160,1.5,1.1,1,0,1,0.0869,0.1056,0,1.2864,0.14623,-0.144,0,2.2,6.4,0.07055,6143,0,0,0,0.07568,5152,0.5,-0.0255,0.8,-0.076,0.1,-0.0101,0.4,-0.0324,,1,,,,
KCNH2,,Yes,,,,180,1.5,0.6,2,0,2,0.0474,0.024,0,2.5728,0.40625,-1.5993,0,0.5,12.8,0.20825,2566,0,0,0,0.198,2234,5,-0.255,13,-1.235,0.2,-0.0202,1.1,-0.0891,,1,,,,
FCGR1A,,Yes,,,,180,1.4,0.6,2,0,2,0.0474,0.2064,0,2.211,0.28378,-1.2993,0,4.3,11,0.1377,3999,0,0,0,0.14608,3181,8.8,-0.4488,2.1,-0.1995,4.2,-0.4242,2.8,-0.2268,,3,,,,
DNMT1,,Yes,,,,210,1.4,0,6,1,5,0,0,0,0.9246,0.63293,-1.509,0,0,4.6,0.51085,887,-0.06464,-0.3232,1143,0.44528,877,5,-0.255,6.9,-0.6555,3.6,-0.3636,2.9,-0.2349,,1,,,,
IL2RA,,,,,,200,1.3,0.6,8,0,8,0.0474,0.0528,0,0.1809,1.39429,-0.3369,0,1.1,0.9,0.68765,640,0,0,0,0.70664,488,0.7,-0.0357,2,-0.19,0.7,-0.0707,0.5,-0.0405,,1,,,,
CHEK2,,,,,,200,1.3,0.6,6,1,5,0.0474,0.024,-0.0644,0.5628,0.64279,-1.3274,2.8,0.5,2.8,0.53295,848,-0.06656,-0.3328,758,0.44264,884,1.1,-0.0561,5,-0.475,6.2,-0.6262,2.1,-0.1701,,1,,,,
FLT3,,,,,,180,1.1,1.1,5,0,5,0.0869,0,0,0.5628,0.79859,-0.3834,0,0,2.8,0.38675,1275,0,0,0,0.41184,998,3,-0.153,0.7,-0.0665,0.5,-0.0505,1.4,-0.1134,,5,,,,
SSTR4,,,,,,190,1,0.6,1,0,0,0.0474,0.0768,0,0.7437,0.1105,-0.0051,0,1.6,3.7,0.1105,4883,0,0,0,0,na,0.1,-0.0051,0,0,0,0,0,0,,2,,,,
SELP,,,,,,180,0.9,1.1,1,0,0,0.0869,0.1584,-0.0414,1.6683,0.11305,-1.0429,1.8,3.3,8.3,0.11305,4793,0,0,0,0,na,1,-0.051,3.2,-0.304,2.4,-0.2424,5.5,-0.4455,,2,,,,
TEK,,,,,,200,0.9,1.1,8,1.3,8,0.0869,0.024,-0.0207,1.6683,0.93259,-3.5144,0.9,0.5,8.3,0.67915,645,-0.08448,-0.4224,664,0.67584,521,6,-0.306,4,-0.38,10.2,-1.0302,22.2,-1.7982,,3,,,,
CHRM1,,,,,,170,0.9,0,4,0,2,0,0.024,0,1.4673,0.50121,-1.1347,0,0.5,7.3,0.31025,1638,0,0,0,0.19096,2397,21,-1.071,0.5,-0.0475,0,0,0.2,-0.0162,,1,,,,
EPHA2,,,,,,235,0.8,0.6,19,1,21,0.0474,0.024,-0.0207,1.1055,3.1236,-4.8257,0.9,0.5,5.5,1.6524,441,-0.06656,-0.3328,838,1.804,301,3,-0.153,14,-1.33,18.5,-1.8685,18.2,-1.4742,,1,,,,
SSTR3,,,,,,190,0.8,0.6,2,0,1,0.0474,0.0528,0,0.5628,0.25059,-0.1386,0,1.1,2.8,0.15555,3580,0,0,0,0.09504,4874,2,-0.102,0.3,-0.0285,0,0,0.1,-0.0081,,3,,,,
IL2RB,,,,,,180,0.8,0.6,9,0,9,0.0474,0.0528,0,0.5628,1.53706,-1.4258,0,1.1,2.8,0.7565,600,0,0,0,0.78056,444,0.3,-0.0153,6,-0.57,7.6,-0.7676,0.9,-0.0729,,1,,,,
ATP2A1,,,,,,180,0.7,1.7,1,0,1,0.1343,0.024,0,0.9246,0.1869,-0.5835,0,0.5,4.6,0.0901,5821,0,0,0,0.0968,4825,1.2,-0.0612,1.2,-0.114,3,-0.303,1.3,-0.1053,,1,,,,
TNFSF11,,,,,,180,0.7,0,4,0,3,0,0,0,0.5628,0.5676,-0.48,0,0,2.8,0.2992,1713,0,0,0,0.2684,1619,0,0,0.8,-0.076,4,-0.404,0,0,,1,,,,
TACR1,,,,,,180,0.6,0.6,3,0,2,0.0474,0,0,0.3618,0.42718,-0.1967,0,0,1.8,0.2635,1957,0,0,0,0.16368,2815,2,-0.102,0.4,-0.038,0,0,0.7,-0.0567,,1,,,,
CACNA2D1,,,,,,180,0.6,0.6,0,1,1,0.0474,0.0528,-0.0414,0.7437,-0.2516,-1.3076,1.8,1.1,3.7,0,0,-0.06528,-0.3264,1048,0.0748,5636,8.7,-0.4437,3,-0.285,1,-0.101,5.9,-0.4779,,1,,,,
PIAS3,,,,,,180,0.6,0.6,5,1,16,0.0474,0.2064,0,1.6683,1.5257,-4.2434,0,4.3,8.3,0.4165,1160,-0.06592,-0.3296,893,1.4388,332,9.1,-0.4641,21,-1.995,7,-0.707,13.3,-1.0773,,1,,,,
HTR1A,,,,,,180,0.4,1.1,2,0,1,0.0869,0,0,0.1809,0.25314,-0.0744,0,0,0.9,0.1581,3529,0,0,0,0.09504,4891,1.3,-0.0663,0,0,0,0,0.1,-0.0081,,1,,,,
GABRD,,,,,,180,0.4,1.1,0,0,0,0.0869,0.0768,0,1.6683,0,-1.4043,0,1.6,8.3,0,0,0,0,0,0,na,26,-1.326,0.1,-0.0095,0.2,-0.0202,0.6,-0.0486,,1,,,,
CDK15,,,,,,180,0.4,0.6,0,0,0,0.0474,0.0768,0,0.3618,0,-0.0769,0,1.6,1.8,0,0,0,0,0,0,na,0.1,-0.0051,0.5,-0.0475,0,0,0.3,-0.0243,,1,,,,
VDR,,,,,,180,0.4,0,32,1.4,8,0,0.024,0,1.1055,3.02171,-5.5524,0,0.5,5.5,2.75995,271,-0.08704,-0.4352,550,0.69696,500,0.1,-0.0051,40,-3.8,1.1,-0.1111,20.2,-1.6362,,1,,,,
ERBB2,,,,,,255,0.4,1.1,60,1,61,0.0869,0.2352,-0.0207,2.211,10.09657,-13.5889,0.9,4.9,11,5.06345,93,-0.06592,-0.3296,886,5.36272,85,7,-0.357,46,-4.37,30.4,-3.0704,71.5,-5.7915,,5,,,,
HTR2A,,,,,,120,0.4,1.1,2,0,2,0.0869,0,-0.0207,0.1809,0.34061,-0.2098,0.9,0,0.9,0.19805,2706,0,0,0,0.14256,3309,3,-0.153,0.3,-0.0285,0.2,-0.0202,0.1,-0.0081,,1,,,,
GABRB1,,,,,,120,0.3,1.7,0,0,0,0.1343,0.024,-0.0207,0.3618,0,-0.1868,0.9,0.5,1.8,0,0,0,0,0,0,na,3,-0.153,0.1,-0.0095,0,0,0.3,-0.0243,,1,,,,
GABRA4,,,,,,120,0.3,0.6,0,0,0,0.0474,0.024,-0.0414,0.3618,0,-0.1297,1.8,0.5,1.8,0,0,0,0,0,0,na,2,-0.102,0.1,-0.0095,0.1,-0.0101,0.1,-0.0081,,1,,,,
GLRA1,,,,,,120,0.3,0.6,0,0,0,0.0474,0.0528,0,0.1809,0,-0.0255,0,1.1,0.9,0,0,0,0,0,0,na,0.5,-0.0255,0,0,0,0,0,0,,1,,,,
SLC6A4,,,,,,120,0.2,1.1,0,0,0,0.0869,0.024,-0.0207,1.1055,0,-0.9662,0.9,0.5,5.5,0,0,0,0,0,0,na,0,0,10,-0.95,0,0,0.2,-0.0162,,1,,,,
CTLA4,,,,,,170,0.2,0,3,0,2,0,0.0768,-0.0414,0.1809,0.42052,-0.4145,1.8,1.6,0.9,0.2278,2359,0,0,0,0.19272,2378,0.2,-0.0102,3,-0.285,0.7,-0.0707,0.6,-0.0486,,1,,,,
NECTIN4,,,,,,179,0.2,0.6,0,0,0,0.0474,0.1584,-0.0207,0.5628,0,-0.5381,0.9,3.3,2.8,0,0,0,0,0,0,na,0,0,3,-0.285,0.1,-0.0101,3,-0.243,,1,,,,
GABRG3,,,,,,120,0.2,1.1,0,0,0,0.0869,0.024,-0.0207,0.1809,0,-0.0893,0.9,0.5,0.9,0,0,0,0,0,0,na,0.6,-0.0306,0,0,0.1,-0.0101,0.6,-0.0486,,1,,,,
CA3,,,,,,120,0.1,0,0,0,0,0,0.1824,0,0.9246,0,-0.9753,0,3.8,4.6,0,0,0,0,0,0,na,1.4,-0.0714,4,-0.38,2.3,-0.2323,3.6,-0.2916,,2,,,,
ADRA1B,,,,,,120,0.1,0,4,1,3,0,0.0528,0,0.1809,0.22403,-1.6905,0,1.1,0.9,0.31195,1633,-0.06528,-0.3264,961,0.23848,1882,4,-0.204,0.5,-0.0475,11.2,-1.1312,3.8,-0.3078,,1,,,,
TOP1MT,,,,,,140,0.1,0,0,0,0,0,0.024,-0.0207,5.7084,0,-5.6125,0.9,0.5,28.4,0,0,0,0,0,0,na,7,-0.357,12,-1.14,29.6,-2.9896,13.9,-1.1259,,2,,,,
MAPK11,,,,,,140,0,0.6,8,0,8,0.0474,0.0768,0,2.7738,1.40159,-4.2518,0,1.6,13.8,0.65535,667,0,0,0,0.74624,459,36,-1.836,5,-0.475,4.7,-0.4747,18.1,-1.4661,,1,,,,
POLA1,,,,,,140,0,1.1,5,0,5,0.0869,0.024,0,0,0.83192,-0.9143,0,0.5,0,0.4148,1166,0,0,0,0.41712,972,3,-0.153,3.5,-0.3325,2,-0.202,2.8,-0.2268,,1,,,,
SSTR2,,,,,,190,0,0,2,0,1,0,0.0768,0,0.7437,0.30337,-1.122,0,1.6,3.7,0.18105,3042,0,0,0,0.12232,3829,8,-0.408,1.7,-0.1615,1.3,-0.1313,5.2,-0.4212,,5,,,,
GABRE,,,,,,180,-0.1,0.6,0,0,0,0.0474,0.1056,0,0,0,-0.2471,0,2.2,0,0,0,0,0,0,0,na,2.5,-0.1275,0.3,-0.0285,0.1,-0.0101,1,-0.081,,1,,,,
GABRG2,,,,,,180,-0.1,0.6,1,0,1,0.0474,0.0528,0,0.1809,0.16138,-0.5495,0,1.1,0.9,0.0901,5828,0,0,0,0.07128,6417,8,-0.408,1,-0.095,0.3,-0.0303,0.2,-0.0162,,1,,,,
HDAC9,,,,,,195,-0.1,1.7,5,0,4,0.1343,0.024,-0.0207,0.1809,0.80904,-1.2385,0.9,0.5,0.9,0.4148,1168,0,0,0,0.39424,1046,7,-0.357,4,-0.38,2.8,-0.2828,2.7,-0.2187,,3,,,,
KCNJ11,,,,,,180,-0.2,0.5,1,0,1,0.0395,0.0288,0,0.9246,0.16487,-1.3397,0,0.6,4.6,0.09095,5793,0,0,0,0.07392,5865,8.7,-0.4437,4,-0.38,1.5,-0.1515,4.5,-0.3645,,1,,,,
GABRA3,,,,,,180,-0.2,0,0,0,0,0,0.1056,-0.0207,0,0,-0.2827,0.9,2.2,0,0,0,0,0,0,0,na,5,-0.255,0.1,-0.0095,0.1,-0.0101,0.1,-0.0081,,1,,,,
GABRQ,,,,,,180,-0.2,1.1,0,0,0,0.0869,0.1056,0,0,0,-0.408,0,2.2,0,0,0,0,0,0,0,na,8,-0.408,0,0,0,0,0,0,,1,,,,
XIAP,,,,,,205,-0.2,0,30,0,6,0,0.024,-0.0207,0,3.08131,-3.3089,0.9,0.5,0,2.55595,299,0,0,0,0.52536,696,1.8,-0.0918,10.3,-0.9785,12.3,-1.2423,12.3,-0.9963,,1,,,,
HDAC4,,,,,,195,-0.2,0.6,0,0,0,0.0474,0.0528,0,1.6683,0,-2.0087,0,1.1,8.3,0,0,0,0,0,0,na,4.7,-0.2397,13,-1.235,2.4,-0.2424,3.6,-0.2916,,3,,,,
PGF,,,,,,200,-0.3,0,4,1,4,0,0.024,0,0.5628,0.30455,-2.5408,0,0.5,2.8,0.31535,1622,-0.06464,-0.3232,1163,0.3124,1347,20,-1.02,3,-0.285,5.9,-0.5959,7.9,-0.6399,,1,,,,
CD274,,,,,,250,-0.3,0.6,0,0,0,0.0474,0.024,0,0.3618,0,-0.752,0,0.5,1.8,0,0,0,0,0,0,na,1.1,-0.0561,1.6,-0.152,3.3,-0.3333,2.6,-0.2106,,2,,,,
GABRG1,,,,,,180,-0.3,0.6,0,0,0,0.0474,0,0,0.3618,0,-0.7293,0,0,1.8,0,0,0,0,0,0,na,14.3,-0.7293,0,0,0,0,0,0,,1,,,,
GABRA1,,,,,,180,-0.4,0,0,0,0,0,0.0528,-0.0207,0.1809,0,-0.5715,0.9,1.1,0.9,0,0,0,0,0,0,na,10,-0.51,0.2,-0.019,0.1,-0.0101,0.4,-0.0324,,1,,,,
CCND1,,,,,,205,-0.4,0,65,2.3,64,0,0.0528,0,1.8492,10.39636,-15.7632,0,1.1,9.2,5.5114,78,-0.14976,-0.7488,249,5.63376,77,20,-1.02,18,-1.71,104.1,-10.5141,31.1,-2.5191,,1,,,,
P2RY12,,,,,,180,-0.4,0,1,0,0,0,0.0768,0,0.5628,0.06885,-1.1,0,1.6,2.8,0.06885,7215,0,0,0,0,na,14,-0.714,1,-0.095,2.4,-0.2424,0.6,-0.0486,,1,,,,
IL6,,,,,,225,-0.5,0.6,12,1.3,10,0.0474,0.0528,0,0.1809,1.47843,-3.983,0,1.1,0.9,1.01235,539,-0.08384,-0.4192,675,0.88528,398,3,-0.153,12,-1.14,13,-1.313,17,-1.377,,1,,,,
GABRA2,,,,,,180,-0.5,0.6,0,0,0,0.0474,0,-0.0207,0.3618,0,-0.9285,0.9,0,1.8,0,0,0,0,0,0,na,4,-0.204,2,-0.19,0.4,-0.0404,6.1,-0.4941,,1,,,,
