Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
HLA-DRB5		4	1	109	0.9%	No
NEBL		8	8	109	7.3%	No
BTBD18		1	1	109	0.9%	No
EIF2AK1		1	1	109	0.9%	No
EIF2AK3		2	2	109	1.8%	No
PBX2		1	1	109	0.9%	No
LARP7		1	1	109	0.9%	No
TEX35		1	1	109	0.9%	No
EIF2AK4		2	2	109	1.8%	No
SPATA31J1		3	3	109	2.8%	No
LAS1L		1	1	109	0.9%	No
AGO4		1	1	109	0.9%	No
NMT1		1	1	109	0.9%	No
NANOG		2	2	109	1.8%	No
HLA-DRB1		5	3	109	2.8%	No
DZIP3		1	1	109	0.9%	No
SPMAP1		1	1	109	0.9%	No
KCNC2		1	1	109	0.9%	No
ZNF43		1	1	109	0.9%	No
SNX10		1	1	109	0.9%	No
ZNF45		1	1	109	0.9%	No
FRG2B		2	1	109	0.9%	No
MMP20		2	1	109	0.9%	No
CASP14		1	1	109	0.9%	No
SHE		1	1	109	0.9%	No
NHSL2		1	1	109	0.9%	No
MMP24		1	1	109	0.9%	No
NHSL1		1	1	109	0.9%	No
NEFM		1	1	109	0.9%	No
JAK1		1	1	109	0.9%	Yes
SLC18A3		1	1	109	0.9%	No
DUSP4		1	1	109	0.9%	Yes
APC2		1	1	109	0.9%	No
DUSP5		1	1	109	0.9%	No
MAMDC4		2	2	109	1.8%	No
CHST6		1	1	109	0.9%	No
KCND1		1	1	109	0.9%	No
MYBPC2		2	1	109	0.9%	No
TEX10		1	1	109	0.9%	No
TEX14		2	2	109	1.8%	No
TEX15		1	1	109	0.9%	No
MMP10		1	1	109	0.9%	No
TOMM40L		1	1	109	0.9%	No
MMP11		1	1	109	0.9%	No
MMP16		2	2	109	1.8%	No
MMP15		1	1	109	0.9%	No
MMP17		1	1	109	0.9%	No
CHST1		1	1	109	0.9%	No
RAPGEF2		1	1	109	0.9%	No
RAPGEF5		1	1	109	0.9%	No
CHST4		1	1	109	0.9%	No
CHST5		1	1	109	0.9%	No
PAFAH1B1		1	1	109	0.9%	No
CHST3		1	1	109	0.9%	No
RAPGEF4		2	2	109	1.8%	No
TRUB1		1	1	109	0.9%	No
TRUB2		1	1	109	0.9%	No
KCNA1		4	4	109	3.7%	No
SYNPO2		2	2	109	1.8%	No
ADAM22		1	1	109	0.9%	No
KCNA4		2	2	109	1.8%	No
ADAM21		4	4	109	3.7%	No
KCNA5		2	2	109	1.8%	No
KCNA6		1	1	109	0.9%	No
FAM117B		1	1	109	0.9%	No
ADAM29		2	2	109	1.8%	No
ADAM28		2	2	109	1.8%	No
SNX29		1	1	109	0.9%	Yes
RICTOR		1	1	109	0.9%	Yes
JAM2		1	1	109	0.9%	No
MBD4		2	2	109	1.8%	Yes
SLF1		1	1	109	0.9%	No
SLF2		1	1	109	0.9%	No
EGLN2		1	1	109	0.9%	No
PKLR		2	2	109	1.8%	No
KCNB1		1	1	109	0.9%	No
MBD1		1	1	109	0.9%	No
ATAD2		1	1	109	0.9%	No
PASD1		1	1	109	0.9%	No
KIR3DL1		4	4	109	3.7%	No
KIR3DL2		2	2	109	1.8%	No
ADAM30		3	3	109	2.8%	No
KIR3DL3		1	1	109	0.9%	No
SNX20		1	1	109	0.9%	No
DCBLD1		1	1	109	0.9%	No
TARBP1		2	2	109	1.8%	No
DCBLD2		1	1	109	0.9%	No
SKI		1	1	109	0.9%	No
SNX18		1	1	109	0.9%	No
SNX19		2	2	109	1.8%	No
SHKBP1		2	2	109	1.8%	No
CCDC7		1	1	109	0.9%	No
CCDC6		1	1	109	0.9%	Yes
NCAPD2		1	1	109	0.9%	No
MITD1		1	1	109	0.9%	No
LGR5		1	1	109	0.9%	Yes
GZF1		1	1	109	0.9%	No
KCNG4		3	3	109	2.8%	No
RIF1		2	2	109	1.8%	No
GOLIM4		2	2	109	1.8%	No
ATP12A		1	1	109	0.9%	No
POTEM		2	2	109	1.8%	No
POTEE		4	4	109	3.7%	No
POTEF		2	2	109	1.8%	No
NEK3		1	1	109	0.9%	No
POTEG		2	2	109	1.8%	No
MAP3K6		3	3	109	2.8%	Yes
MAP3K7		1	1	109	0.9%	Yes
POTEC		4	3	109	2.8%	No
UGT2B11		2	2	109	1.8%	No
KCNH5		1	1	109	0.9%	No
FBXW5		1	1	109	0.9%	No
KCNH6		2	2	109	1.8%	No
FBXW7		1	1	109	0.9%	Yes
FAM118A		1	1	109	0.9%	No
SRCIN1		1	1	109	0.9%	No
PIAS1		1	1	109	0.9%	No
MSH6		1	1	109	0.9%	Yes
MSH2		3	3	109	2.8%	Yes
SMO		2	2	109	1.8%	Yes
DMTF1		1	1	109	0.9%	No
JAML		1	1	109	0.9%	No
OR9A4		1	1	109	0.9%	No
SRSF3		1	1	109	0.9%	Yes
SRSF4		1	1	109	0.9%	No
LY6H		1	1	109	0.9%	No
GRIA1		2	2	109	1.8%	No
GRIA2		1	1	109	0.9%	No
KMT2D		3	3	109	2.8%	Yes
KMT2A		2	2	109	1.8%	Yes
KCNE4		1	1	109	0.9%	No
KMT2C		7	7	109	6.4%	Yes
KMT2B		1	1	109	0.9%	Yes
GSTT2		1	1	109	0.9%	No
FBXO45		1	1	109	0.9%	No
FBXO46		1	1	109	0.9%	No
FBXO43		1	1	109	0.9%	No
FBXO42		1	1	109	0.9%	No
RAP1B		1	1	109	0.9%	No
FBXO40		1	1	109	0.9%	No
LOXHD1		7	6	109	5.5%	No
ZKSCAN7		1	1	109	0.9%	No
TNFRSF14		1	1	109	0.9%	Yes
KRTAP4-2		1	1	109	0.9%	No
KRTAP4-1		3	3	109	2.8%	No
ZKSCAN4		1	1	109	0.9%	No
GRIA3		1	1	109	0.9%	No
GRIA4		1	1	109	0.9%	No
KCNF1		1	1	109	0.9%	No
NEK9		1	1	109	0.9%	No
NOP14		1	1	109	0.9%	No
KRTAP4-9		2	2	109	1.8%	No
KRTAP4-5		2	2	109	1.8%	No
RFXANK		1	1	109	0.9%	No
FBXO34		1	1	109	0.9%	No
BMX		1	1	109	0.9%	No
FAM90A1		1	1	109	0.9%	No
FBXO31		1	1	109	0.9%	Yes
LRCH2		1	1	109	0.9%	No
G6PC2		2	2	109	1.8%	No
ADSS1		1	1	109	0.9%	No
SP9		1	1	109	0.9%	No
TRIM77		1	1	109	0.9%	No
RIGI		2	2	109	1.8%	No
OR7E24		1	1	109	0.9%	No
ALAS1		1	1	109	0.9%	No
PIWIL3		1	1	109	0.9%	No
MTCL1		3	3	109	2.8%	No
MTCL3		1	1	109	0.9%	No
PTEN		1	1	109	0.9%	Yes
DYSF		2	2	109	1.8%	No
ECE1		1	1	109	0.9%	No
HTR2A		1	1	109	0.9%	No
BICD1		1	1	109	0.9%	No
RESF1		1	1	109	0.9%	No
AP4M1		2	2	109	1.8%	No
UNC80		2	2	109	1.8%	No
KIAA1549		1	1	109	0.9%	No
BOC		1	1	109	0.9%	No
SPDYE1		1	1	109	0.9%	No
NEO1		1	1	109	0.9%	No
OR56B4		2	2	109	1.8%	No
BCAS1		1	1	109	0.9%	No
TRIM60		1	1	109	0.9%	No
CERS3		1	1	109	0.9%	No
GRID2		4	4	109	3.7%	No
SLC36A3		1	1	109	0.9%	No
CERS6		1	1	109	0.9%	No
VPS13C		3	3	109	2.8%	No
TNFRSF19		1	1	109	0.9%	No
VPS13A		2	2	109	1.8%	No
HTR3D		1	1	109	0.9%	No
ARFGAP3		1	1	109	0.9%	No
ARFGAP2		1	1	109	0.9%	No
PCCA		2	2	109	1.8%	No
ZNF879		2	2	109	1.8%	No
ZNF878		3	2	109	1.8%	No
TRIM58		1	1	109	0.9%	No
BPI		1	1	109	0.9%	No
SMCR8		2	1	109	0.9%	No
OR56A3		1	1	109	0.9%	No
TRIM55		2	2	109	1.8%	No
C1R		1	1	109	0.9%	No
ATP10D		1	1	109	0.9%	No
LENG9		1	1	109	0.9%	No
UGT2B28		1	1	109	0.9%	No
LENG8		2	2	109	1.8%	No
U2AF1		3	3	109	2.8%	Yes
ATP10A		2	2	109	1.8%	No
FAM120A2P		1	1	109	0.9%	No
TRIM48		1	1	109	0.9%	No
OR12D2		1	1	109	0.9%	No
TRIM49		4	3	109	2.8%	No
TRIM42		2	2	109	1.8%	No
KCNJ1		1	1	109	0.9%	No
SLC36A4		1	1	109	0.9%	No
KCNJ2		1	1	109	0.9%	No
E2F7		2	2	109	1.8%	No
KCNJ3		1	1	109	0.9%	No
KCNJ4		1	1	109	0.9%	No
KCNJ8		2	2	109	1.8%	No
GZMA		1	1	109	0.9%	No
HTR5A		1	1	109	0.9%	No
EFR3B		1	1	109	0.9%	No
HCRTR1		1	1	109	0.9%	No
DYTN		1	1	109	0.9%	No
NECAP2		1	1	109	0.9%	No
UBQLNL		2	2	109	1.8%	No
TRIM37		1	1	109	0.9%	No
PDCD1		2	2	109	1.8%	Yes
KCNK2		1	1	109	0.9%	No
NOP53		1	1	109	0.9%	No
TRIM33		2	2	109	1.8%	Yes
UNC79		2	2	109	1.8%	No
CDRT15		1	1	109	0.9%	No
ODAD3		1	1	109	0.9%	No
IKZF1		2	2	109	1.8%	Yes
IKZF2		2	1	109	0.9%	Yes
ICAM1		2	2	109	1.8%	No
EFR3A		1	1	109	0.9%	No
TRIM28		1	1	109	0.9%	No
ANPEP		1	1	109	0.9%	No
TOPAZ1		1	1	109	0.9%	No
LGALS9		2	2	109	1.8%	No
FBXO5		2	2	109	1.8%	No
THSD7A		3	3	109	2.8%	No
BSN		4	4	109	3.7%	No
ATXN7L2		1	1	109	0.9%	No
TP63		2	2	109	1.8%	Yes
CER1		2	2	109	1.8%	No
TRIM22		3	3	109	2.8%	No
FBXO9		1	1	109	0.9%	No
TMEM170A		1	1	109	0.9%	No
CYP39A1		1	1	109	0.9%	No
KEL		1	1	109	0.9%	Yes
TRIM17		1	1	109	0.9%	No
KCNQ1		1	1	109	0.9%	No
KCNQ2		2	2	109	1.8%	No
NINJ1		1	1	109	0.9%	No
KCNQ3		2	2	109	1.8%	No
TRIM14		1	1	109	0.9%	No
TRIM16		1	1	109	0.9%	No
TP53		55	55	109	50.5%	Yes
CES3		1	1	109	0.9%	No
RIN2		3	3	109	2.8%	No
CES1		1	1	109	0.9%	No
TMEM63A		1	1	109	0.9%	No
AARS2		1	1	109	0.9%	No
DHX8		1	1	109	0.9%	No
TMEM63B		1	1	109	0.9%	No
MYCBP2		3	3	109	2.8%	No
CWF19L2		2	2	109	1.8%	No
ZBTB4		2	2	109	1.8%	No
SPMIP7		1	1	109	0.9%	No
ZBTB2		2	2	109	1.8%	No
TTBK2		1	1	109	0.9%	No
NEU2		1	1	109	0.9%	No
PKHD1		5	4	109	3.7%	No
NEU3		1	1	109	0.9%	No
NKAIN4		1	1	109	0.9%	No
ACTR3C		1	1	109	0.9%	No
MRNIP		2	2	109	1.8%	No
RRAS		1	1	109	0.9%	Yes
KCNN1		1	1	109	0.9%	No
B4GALNT1		1	1	109	0.9%	No
KCNN3		1	1	109	0.9%	No
APOB		5	5	109	4.6%	No
B4GALNT2		1	1	109	0.9%	No
B4GALNT4		1	1	109	0.9%	No
NTNG1		1	1	109	0.9%	No
PHETA2		1	1	109	0.9%	No
FAM9A		1	1	109	0.9%	No
APOBEC3F		1	1	109	0.9%	No
TNFSF14		1	1	109	0.9%	No
SPHKAP		4	4	109	3.7%	No
FAM9C		1	1	109	0.9%	No
DDIAS		1	1	109	0.9%	No
DELE1		1	1	109	0.9%	No
NBEAL2		1	1	109	0.9%	No
CPLANE1		4	4	109	3.7%	No
IGF1		1	1	109	0.9%	Yes
KPLCE		2	2	109	1.8%	No
CYP26A1		1	1	109	0.9%	No
SPMIP3		1	1	109	0.9%	No
FBXL5		1	1	109	0.9%	No
LDHAL6B		2	2	109	1.8%	No
HERPUD2		1	1	109	0.9%	No
ECM1		2	2	109	1.8%	No
GRIK5		1	1	109	0.9%	No
GRIK3		1	1	109	0.9%	No
AP4E1		2	2	109	1.8%	No
GRIK2		2	2	109	1.8%	No
C8A		1	1	109	0.9%	No
MC4R		1	1	109	0.9%	No
PCLO		4	4	109	3.7%	Yes
KCNT2		1	1	109	0.9%	No
UIMC1		1	1	109	0.9%	No
BBS5		1	1	109	0.9%	No
BBS4		2	2	109	1.8%	No
GIT1		1	1	109	0.9%	No
MRPS27		1	1	109	0.9%	No
MST1		6	6	109	5.5%	Yes
PRPF40B		1	1	109	0.9%	No
GAB2		2	2	109	1.8%	Yes
GAB4		1	1	109	0.9%	No
CTTNBP2NL		1	1	109	0.9%	No
SLTM		1	1	109	0.9%	No
PITPNM3		1	1	109	0.9%	No
PITPNM2		1	1	109	0.9%	No
ARHGEF3		1	1	109	0.9%	No
ARHGEF4		1	1	109	0.9%	No
MICU3		1	1	109	0.9%	No
ARHGEF7		2	2	109	1.8%	No
SLU7		1	1	109	0.9%	No
ARHGEF5		2	2	109	1.8%	No
AHCY		1	1	109	0.9%	No
MRPS35		1	1	109	0.9%	No
PRICKLE3		1	1	109	0.9%	No
NEXN		1	1	109	0.9%	No
PRICKLE1		2	2	109	1.8%	No
PCNP		1	1	109	0.9%	No
FHIP1A		1	1	109	0.9%	No
PCNT		1	1	109	0.9%	No
SLX9		1	1	109	0.9%	No
DYNC1I1		1	1	109	0.9%	No
DYNC1H1		2	2	109	1.8%	No
SPRYD3		1	1	109	0.9%	No
GAD1		1	1	109	0.9%	No
KLHL1		1	1	109	0.9%	No
KLHL4		1	1	109	0.9%	No
PEX13		1	1	109	0.9%	No
APTX		6	6	109	5.5%	No
KAZALD1		1	1	109	0.9%	No
RP1L1		6	6	109	5.5%	No
SGSM1		1	1	109	0.9%	No
ETAA1		1	1	109	0.9%	Yes
KLHL5		1	1	109	0.9%	No
KCNS2		1	1	109	0.9%	No
SGSM2		1	1	109	0.9%	No
TACC2		1	1	109	0.9%	No
PRDM8		1	1	109	0.9%	No
KLB		1	1	109	0.9%	No
OR1C1		1	1	109	0.9%	No
PRDM9		2	2	109	1.8%	No
NUP188		1	1	109	0.9%	No
PRDM2		1	1	109	0.9%	No
CELSR3		1	1	109	0.9%	No
IGF1R		2	2	109	1.8%	Yes
GRIP1		1	1	109	0.9%	No
DMBT1		1	1	109	0.9%	No
PPIP5K1		1	1	109	0.9%	No
ZNF83		1	1	109	0.9%	No
ENPP1		1	1	109	0.9%	No
FAM3A		1	1	109	0.9%	No
ENPP4		1	1	109	0.9%	No
DENND5A		1	1	109	0.9%	No
TGM7		1	1	109	0.9%	No
ENPP5		1	1	109	0.9%	No
TGM3		3	3	109	2.8%	No
RAG1		1	1	109	0.9%	No
TMOD1		1	1	109	0.9%	No
SPINK4		1	1	109	0.9%	No
CARD10		1	1	109	0.9%	No
FBXW12		2	2	109	1.8%	No
OR1B1		1	1	109	0.9%	No
MSX2		1	1	109	0.9%	No
SPINK5		2	2	109	1.8%	No
DNAJB12		1	1	109	0.9%	No
ADAM10		1	1	109	0.9%	No
ZNF98		1	1	109	0.9%	No
ZNF99		2	2	109	1.8%	No
TTC7A		1	1	109	0.9%	No
CCNB1IP1		1	1	109	0.9%	Yes
ADAM19		1	1	109	0.9%	No
SLFN12		1	1	109	0.9%	No
ZNF91		2	2	109	1.8%	No
ADAM15		1	1	109	0.9%	No
LYG1		1	1	109	0.9%	No
PSPC1		1	1	109	0.9%	No
DENND6B		1	1	109	0.9%	No
BBOF1		1	1	109	0.9%	No
COX18		2	2	109	1.8%	No
HTRA4		1	1	109	0.9%	No
HTRA1		1	1	109	0.9%	No
PLD1		2	2	109	1.8%	No
NUP160		1	1	109	0.9%	No
CNN3		2	2	109	1.8%	No
PLD2		2	2	109	1.8%	No
RAI1		2	2	109	1.8%	No
KCNV1		1	1	109	0.9%	No
GRK4		3	3	109	2.8%	No
GRK7		1	1	109	0.9%	No
GRK6		2	1	109	0.9%	No
PIBF1		3	3	109	2.8%	No
COX10		1	1	109	0.9%	No
SPATA31A6		2	2	109	1.8%	No
NUP155		1	1	109	0.9%	No
AUTS2		1	1	109	0.9%	No
CNTN6		1	1	109	0.9%	No
PCIF1		1	1	109	0.9%	No
NUP153		1	1	109	0.9%	No
BLTP1		1	1	109	0.9%	No
CNTN2		3	3	109	2.8%	No
MKRN3		1	1	109	0.9%	No
CNTN3		1	1	109	0.9%	No
UBA1		1	1	109	0.9%	Yes
CNTN4		1	1	109	0.9%	No
FGF12		1	1	109	0.9%	Yes
SDK2		3	3	109	2.8%	No
TTC22		1	1	109	0.9%	No
TAT		1	1	109	0.9%	No
TTC29		1	1	109	0.9%	No
MYSM1		1	1	109	0.9%	No
GRM1		1	1	109	0.9%	No
LIAT1		1	1	109	0.9%	No
GRM5		1	1	109	0.9%	No
GRM4		1	1	109	0.9%	No
GRM6		1	1	109	0.9%	No
ZIC3		1	1	109	0.9%	No
GRM8		2	2	109	1.8%	No
CA9		1	1	109	0.9%	No
QRFPR		1	1	109	0.9%	No
SUN1		1	1	109	0.9%	No
ATP6AP1		1	1	109	0.9%	Yes
NUP133		1	1	109	0.9%	No
OR1F1		1	1	109	0.9%	No
SHROOM3		4	3	109	2.8%	No
ETV4		1	1	109	0.9%	Yes
ETV5		1	1	109	0.9%	Yes
ETV6		1	1	109	0.9%	Yes
ELF1		1	1	109	0.9%	No
SPATA31D1		3	2	109	1.8%	No
ZMYND11		1	1	109	0.9%	No
DIPK2A		2	2	109	1.8%	No
SHANK2		2	2	109	1.8%	No
PLEC		6	6	109	5.5%	No
OR1E2		1	1	109	0.9%	No
DAPL1		1	1	109	0.9%	No
C4ORF36		1	1	109	0.9%	No
CAND2		4	2	109	1.8%	No
IL1RL1		1	1	109	0.9%	No
NWD1		1	1	109	0.9%	No
SV2B		1	1	109	0.9%	No
CBS		1	1	109	0.9%	No
OXCT1		1	1	109	0.9%	No
POLD1		1	1	109	0.9%	Yes
TGS1		1	1	109	0.9%	No
DROSHA		1	1	109	0.9%	Yes
OXCT2		1	1	109	0.9%	No
SLIT2		1	1	109	0.9%	Yes
SPATA31E1		2	2	109	1.8%	No
TRDMT1		1	1	109	0.9%	No
TTC12		1	1	109	0.9%	No
URGCP		1	1	109	0.9%	No
HSD3B2		1	1	109	0.9%	No
SUOX		1	1	109	0.9%	No
USF3		1	1	109	0.9%	No
TBX18		1	1	109	0.9%	No
TTC16		1	1	109	0.9%	No
HS3ST2		2	2	109	1.8%	No
TBX15		1	1	109	0.9%	No
CCS		1	1	109	0.9%	No
CD6		1	1	109	0.9%	No
TNIP1		1	1	109	0.9%	No
COL7A1		4	3	109	2.8%	No
TNIP3		1	1	109	0.9%	No
CD7		4	2	109	1.8%	No
ERCC6		1	1	109	0.9%	No
TEK		1	1	109	0.9%	Yes
SPATA31F1		3	2	109	1.8%	No
PRSS1		2	2	109	1.8%	Yes
FRMPD4		1	1	109	0.9%	No
WIPF2		1	1	109	0.9%	No
SMC5		1	1	109	0.9%	No
MRGPRD		1	1	109	0.9%	No
SLC4A2		1	1	109	0.9%	No
SMC6		1	1	109	0.9%	No
MRGPRE		1	1	109	0.9%	No
SLC4A3		1	1	109	0.9%	No
SMC3		1	1	109	0.9%	Yes
SLC4A5		1	1	109	0.9%	No
WDR87		3	3	109	2.8%	No
SCN11A		2	2	109	1.8%	No
ZSCAN30		1	1	109	0.9%	No
WDR90		1	1	109	0.9%	Yes
WDR91		3	3	109	2.8%	No
ZSCAN32		1	1	109	0.9%	No
VPS35		1	1	109	0.9%	No
PRSS3		3	3	109	2.8%	No
VPS39		1	1	109	0.9%	No
NUP214		2	2	109	1.8%	Yes
RSPH6A		1	1	109	0.9%	No
NUP210		1	1	109	0.9%	No
DNAAF3		1	1	109	0.9%	No
PRKCB		1	1	109	0.9%	Yes
DNAAF2		1	1	109	0.9%	No
PRKCE		1	1	109	0.9%	No
DNAAF1		2	2	109	1.8%	No
PRKCD		1	1	109	0.9%	No
HUS1		1	1	109	0.9%	No
WDR75		1	1	109	0.9%	No
TAAR2		1	1	109	0.9%	No
WDR72		2	2	109	1.8%	No
CEL		2	2	109	1.8%	No
GANC		1	1	109	0.9%	No
DNAAF9		1	1	109	0.9%	No
HCFC1		1	1	109	0.9%	No
WDR77		1	1	109	0.9%	No
BCAN		1	1	109	0.9%	No
ARMC2		1	1	109	0.9%	No
MTAP		1	1	109	0.9%	Yes
SCN10A		1	1	109	0.9%	No
ADCY9		1	1	109	0.9%	No
PARD3		1	1	109	0.9%	No
HECW2		1	1	109	0.9%	No
ARMC3		1	1	109	0.9%	No
HECW1		2	2	109	1.8%	No
PRKCQ		1	1	109	0.9%	No
PRKD2		2	2	109	1.8%	No
NUP98		1	1	109	0.9%	Yes
PRKD1		2	2	109	1.8%	Yes
FREM1		4	4	109	3.7%	No
PI4K2A		1	1	109	0.9%	No
FREM2		2	2	109	1.8%	No
CFH		2	2	109	1.8%	No
PRKDC		1	1	109	0.9%	Yes
METTL25B		1	1	109	0.9%	No
WDR64		2	2	109	1.8%	No
MTDH		2	2	109	1.8%	No
RRP7A		1	1	109	0.9%	No
XKRX		1	1	109	0.9%	No
FAM171A1		1	1	109	0.9%	No
FAM124B		2	2	109	1.8%	No
FAM124A		1	1	109	0.9%	No
POM121C		1	1	109	0.9%	No
ST3GAL4		1	1	109	0.9%	No
VPS11		1	1	109	0.9%	No
ZSCAN12		2	2	109	1.8%	No
HLA-DQA1		3	2	109	1.8%	No
ZSCAN18		1	1	109	0.9%	No
FAM120AOS		1	1	109	0.9%	No
ARL14EP		1	1	109	0.9%	No
LRRC37A2		1	1	109	0.9%	No
PLK5		1	1	109	0.9%	No
MCAM		1	1	109	0.9%	No
POU6F2		1	1	109	0.9%	No
MEX3C		2	2	109	1.8%	No
WDR55		1	1	109	0.9%	No
GJB4		1	1	109	0.9%	No
GJB7		1	1	109	0.9%	No
FANK1		1	1	109	0.9%	No
WDR49		3	3	109	2.8%	No
SMG1		2	2	109	1.8%	Yes
SETD2		1	1	109	0.9%	Yes
SETD9		1	1	109	0.9%	No
ASH2L		1	1	109	0.9%	No
SMG7		2	2	109	1.8%	No
LYST		2	2	109	1.8%	No
SMG8		1	1	109	0.9%	No
WDR44		1	1	109	0.9%	No
IFIH1		2	2	109	1.8%	No
ADAMTSL1		3	3	109	2.8%	No
ADAMTSL4		1	1	109	0.9%	No
MTG2		1	1	109	0.9%	No
ADAMTSL3		4	4	109	3.7%	No
GAST		1	1	109	0.9%	No
RRP12		3	3	109	2.8%	No
CIC		1	1	109	0.9%	Yes
RAB5IF		1	1	109	0.9%	No
DENND2C		1	1	109	0.9%	No
ZSCAN5A		1	1	109	0.9%	No
RPS6KL1		1	1	109	0.9%	No
ZSCAN5B		1	1	109	0.9%	No
DENND2B		1	1	109	0.9%	No
MSGN1		1	1	109	0.9%	No
ASH1L		2	2	109	1.8%	No
WDR35		1	1	109	0.9%	No
CIT		1	1	109	0.9%	No
WDR33		1	1	109	0.9%	No
KIFBP		2	2	109	1.8%	No
AHRR		1	1	109	0.9%	No
EXOC6		1	1	109	0.9%	No
PLIN1		1	1	109	0.9%	No
GART		1	1	109	0.9%	No
MOCS1		1	1	109	0.9%	No
ANGPTL1		1	1	109	0.9%	No
EXOC2		1	1	109	0.9%	No
HLA-DQB1		2	2	109	1.8%	No
NFIX		1	1	109	0.9%	No
AP5Z1		1	1	109	0.9%	No
DCAF12L2		1	1	109	0.9%	No
USO1		1	1	109	0.9%	No
PRUNE2		3	3	109	2.8%	No
ADCY3		1	1	109	0.9%	No
ADCY2		1	1	109	0.9%	No
ADCY1		1	1	109	0.9%	No
ADCY8		3	3	109	2.8%	No
SPTY2D1		1	1	109	0.9%	No
ADCY6		1	1	109	0.9%	No
FGD1		1	1	109	0.9%	No
FGD2		1	1	109	0.9%	No
APOL4		1	1	109	0.9%	No
FGD4		1	1	109	0.9%	No
FGD6		1	1	109	0.9%	No
OLFML1		1	1	109	0.9%	No
ASPDH		1	1	109	0.9%	No
SLC17A2		1	1	109	0.9%	No
SLC17A3		1	1	109	0.9%	No
ZIM2		2	2	109	1.8%	No
APOL3		1	1	109	0.9%	No
ZIM3		2	2	109	1.8%	No
BCHE		2	2	109	1.8%	No
CDKN2A		7	6	109	5.5%	Yes
WHRN		2	2	109	1.8%	No
WDR19		3	3	109	2.8%	No
ELP2		3	3	109	2.8%	Yes
ELP4		2	2	109	1.8%	No
SNCAIP		4	4	109	3.7%	Yes
IGLL1		2	2	109	1.8%	No
MROH2B		1	1	109	0.9%	No
TNC		2	2	109	1.8%	No
CLU		1	1	109	0.9%	No
EDC3		1	1	109	0.9%	No
RIMS2		3	3	109	2.8%	No
FGF6		2	2	109	1.8%	Yes
NPEPPS		3	3	109	2.8%	No
FGF7		1	1	109	0.9%	Yes
IPO8		1	1	109	0.9%	No
RIMS3		1	1	109	0.9%	No
TNN		2	2	109	1.8%	No
TNR		2	2	109	1.8%	No
OR13D1		1	1	109	0.9%	No
LARGE1		1	1	109	0.9%	No
C8ORF44		1	1	109	0.9%	No
GTF2I		1	1	109	0.9%	Yes
MAP2K3		2	2	109	1.8%	No
KCMF1		1	1	109	0.9%	No
MAP2K4		1	1	109	0.9%	Yes
USP8		1	1	109	0.9%	Yes
MAP2K2		1	1	109	0.9%	Yes
USP6		5	4	109	3.7%	Yes
RALGAPA1		2	2	109	1.8%	No
SWAP70		1	1	109	0.9%	No
SKIDA1		1	1	109	0.9%	No
DIO3		1	1	109	0.9%	No
CHD1L		2	2	109	1.8%	No
LARP4B		1	1	109	0.9%	Yes
FAM91A1		1	1	109	0.9%	No
PYGO1		1	1	109	0.9%	No
OBSCN		9	9	109	8.3%	No
ZNF799		1	1	109	0.9%	No
FKBP9		1	1	109	0.9%	No
OR13C2		1	1	109	0.9%	No
OR13C5		2	2	109	1.8%	No
ZNF793		1	1	109	0.9%	No
DRC7		1	1	109	0.9%	No
PARM1		2	2	109	1.8%	No
